state_name,temp_F_round
Texas,75
Texas,77
Montana,45
Texas,83
Minnesota,57
New York,52
California,61
Missouri,66
Florida,76
Minnesota,60
Illinois,54
Oregon,60
Arizona,90
Washington,56
California,65
Alaska,45
Hawaii,87
