Team,First Name,Last Name,2023 Base Salary,2023 Guaranteed Comp,Position
Real Salt Lake,Emeka,Eneli,"$67,360","$67,360",D
Real Salt Lake,Zack,Farnsworth,"$115,000","$129,750",D
Real Salt Lake,Justen,Glad,"$725,000","$905,000",D
Real Salt Lake,Tomás,Gómez,"$85,444","$85,444",GK
Real Salt Lake,Carlos Andrés,Gómez,"$220,000","$252,000",M
Real Salt Lake,Bode,Hidalgo,"$104,000","$108,294",D
Real Salt Lake,Erik,Holt,"$200,000","$218,750",D
Real Salt Lake,Bertin,Jacquesson,"$67,360","$74,686",M
Real Salt Lake,Anderson,Julio,"$750,000","$820,000",M
Real Salt Lake,Axel,Kei,"$85,444","$101,444",F
Real Salt Lake,Damir,Kreilach,"$1,650,000","$1,650,000",M
Real Salt Lake,Kevon,Lambert,"$180,000","$198,150",D-M
Real Salt Lake,Jasper,Löffelsend,"$96,600","$96,600",M
Real Salt Lake,Diego,Luna,"$120,000","$134,380",M-F
Real Salt Lake,Zac,MacMath,"$350,000","$350,000",GK
Real Salt Lake,Danny,Musovski,"$98,687","$98,687",F
Real Salt Lake,Moses,Nyeman,"$115,000","$133,822",D-M
Real Salt Lake,Braian,Ojeda,"$590,000","$648,653",M
Real Salt Lake,Jaziel,Orozco,"$85,444","$85,444",D
Real Salt Lake,Bryan,Oviedo,"$325,000","$375,826",D
Real Salt Lake,Nelson,Palacio,"$300,000","$343,167",M
Real Salt Lake,Ilijah,Paul,"$67,360","$74,873",F
Real Salt Lake,Delentz,Pierre,"$67,360","$72,795",D
Real Salt Lake,Luis,Rivera,"$67,360","$78,460",D
Real Salt Lake,Rubio,Rubín,"$600,000","$672,847",F
Real Salt Lake,Pablo,Ruiz,"$500,000","$573,500",M
Real Salt Lake,Jefferson,Savarino,"$1,525,000","$1,749,292",M
Real Salt Lake,Marcelo,Silva,"$600,000","$600,000",D
Real Salt Lake,Brayan,Vera,"$450,000","$507,000",D
Real Salt Lake,Jude,Wellings,"$85,444","$105,444",M
San Jose Earthquakes,Oskar,Agren,"$85,444","$85,444",D
San Jose Earthquakes,Carlos,Akapo,"$525,000","$570,111",D
San Jose Earthquakes,Ayo,Akinola,"$700,000","$771,875",F
San Jose Earthquakes,Michael,Baldisimo,"$85,444","$85,444",D-M
San Jose Earthquakes,Tanner,Beason,"$250,000","$250,000",D
San Jose Earthquakes,Ousseni,Bouda,"$100,000","$112,500",M
San Jose Earthquakes,Cam,Cilley,"$67,360","$67,360",M
San Jose Earthquakes,Cade,Cowell,"$600,000","$689,909",M
San Jose Earthquakes,Daniel,de Sousa Britto,"$400,000","$400,000",GK
San Jose Earthquakes,Jeremy,Ebobisse,"$763,980","$909,863",F
San Jose Earthquakes,Cristian,Espinoza,"$1,150,000","$1,265,000",M
San Jose Earthquakes,Carlos,Gruezo,"$1,350,000","$1,571,086",D-M
San Jose Earthquakes,Matthew,Hoppe,"$650,004","$725,004",F
San Jose Earthquakes,Benjamin,Kikanovic,"$130,000","$135,775",M
San Jose Earthquakes,JT,Marcinkowski,"$350,000","$350,000",GK
San Jose Earthquakes,Paul,Marie,"$180,000","$191,375",D
San Jose Earthquakes,Cruz,Medina,"$85,444","$103,838",M-F
San Jose Earthquakes,Jonathan,Mensah,"$1,025,000","$1,165,667",D
San Jose Earthquakes,Jamiro,Monteiro,"$1,200,000","$1,293,500",M
San Jose Earthquakes,Daniel,Munie,"$67,360","$67,360",D
San Jose Earthquakes,Emmanuel,Ochoa,"$130,000","$140,071",GK
San Jose Earthquakes,Nathan Raphael,Pelae Cardoso,"$700,000","$741,250",D
San Jose Earthquakes,Will,Richmond,"$68,775","$68,775",M
San Jose Earthquakes,Antônio Josenildo,Rodrigues de Oliveira,"$600,000","$658,000",D
San Jose Earthquakes,Judson,Silva Tavares,"$250,000","$250,000",D-M
San Jose Earthquakes,Jack,Skahan,"$88,200","$88,200",M
San Jose Earthquakes,Tommy,Thompson,"$115,000","$115,000",D
San Jose Earthquakes,Keegan,Tingey,"$67,360","$67,360",D
San Jose Earthquakes,Miguel,Trauco,"$500,000","$550,000",D
San Jose Earthquakes,Niko,Tsakiris,"$85,444","$89,611",M
San Jose Earthquakes,Oscar,Verhoeven,"$67,360","$80,755",D
San Jose Earthquakes,Casey,Walls,"$150,000","$153,000",D
San Jose Earthquakes,Jackson,Yueill,"$750,000","$786,875",M
Seattle Sounders FC,Leonardo,Alves Chú Franco,"$550,000","$550,000",M
Seattle Sounders FC,Héber,Araújo dos Santos,"$930,000","$1,019,000",F
Seattle Sounders FC,Xavier,Arreaga,"$750,000","$750,000",D
Seattle Sounders FC,Josh,Atencio,"$92,400","$96,762",D-M
Seattle Sounders FC,Cody,Baker,"$67,360","$73,064",D
Seattle Sounders FC,Reed,Baker-Whiting,"$85,444","$105,444",M
Seattle Sounders FC,Jacob,Castro,"$67,360","$67,360",GK
Seattle Sounders FC,Abdoulaye,Cissoko,"$85,444","$85,444",D
Seattle Sounders FC,Stefan,Cleveland,"$200,000","$217,500",GK
Seattle Sounders FC,Ethan,Dobbelaere,"$104,000","$118,000",M
Seattle Sounders FC,Stefan,Frei,"$650,000","$650,000",GK
Seattle Sounders FC,Yeimar,Gómez Andrade,"$672,732","$741,820",D
Seattle Sounders FC,Stuart,Hawkins,"$67,360","$79,381",D
Seattle Sounders FC,Sota,Kitahara,"$67,360","$69,860",D-M
Seattle Sounders FC,Nicolás,Lodeiro,"$2,640,000","$3,256,667",M-F
Seattle Sounders FC,João Paulo,Mior,"$1,300,000","$1,383,333",M
Seattle Sounders FC,Fredy,Montero,"$195,000","$195,000",F
Seattle Sounders FC,Jordan,Morris,"$1,550,000","$1,560,000",M
Seattle Sounders FC,Jackson,Ragen,"$85,444","$85,444",D
Seattle Sounders FC,Cristian,Roldán,"$1,320,000","$1,441,000",M
Seattle Sounders FC,Álex,Roldán,"$300,000","$332,500",D
Seattle Sounders FC,Paul,Rothrock,"$85,444","$85,444",F
Seattle Sounders FC,Kelyn,Rowe,"$300,000","$300,000",M
Seattle Sounders FC,Raúl,Ruidíaz,"$2,472,000","$3,201,120",F
Seattle Sounders FC,Albert,Rusnák,"$1,800,000","$1,871,667",M-F
Seattle Sounders FC,Dylan,Teves,"$68,775","$68,775",M
Seattle Sounders FC,Andrew,Thomas,"$125,000","$132,500",GK
Seattle Sounders FC,Nouhou,Tolo,"$550,000","$571,875",D
Seattle Sounders FC,Obed,Vargas,"$67,360","$76,392",M
Sporting Kansas City,Stephen,Afrifa,"$67,360","$67,360",F
Sporting Kansas City,Willy,Agada,"$225,000","$271,875",F
Sporting Kansas City,Robert,Castellanos,"$85,444","$85,444",D
Sporting Kansas City,Ozzie,Cisneros,"$85,444","$88,444",M-F
Sporting Kansas City,Jake,Davis,"$85,444","$85,444",D
Sporting Kansas City,Cameron,Duke,"$137,500","$140,500",M
Sporting Kansas City,Róger,Espinoza,"$85,444","$85,444",M
Sporting Kansas City,Danny,Flores,"$67,360","$67,360",M
Sporting Kansas City,Andreu,Fontàs,"$450,000","$450,000",D
Sporting Kansas City,Kortne,Ford,"$165,000","$170,000",D
Sporting Kansas City,Felipe,Gutiérrez,"$165,000","$165,000",M
Sporting Kansas City,Felipe,Hernández,"$175,000","$207,000",M
Sporting Kansas City,Gadi,Kinda,"$850,000","$918,000",M-F
Sporting Kansas City,Tim,Leibold,"$500,000","$501,050",D
Sporting Kansas City,Kendall,McIntosh,"$130,000","$130,000",GK
Sporting Kansas City,Tim,Melia,"$625,000","$637,500",GK
Sporting Kansas City,Logan,Ndenbe,"$350,000","$396,125",D
Sporting Kansas City,Kayden,Pierre,"$85,444","$91,819",D
Sporting Kansas City,Alan,Pulido,"$2,200,000","$2,200,000",F
Sporting Kansas City,John,Pulskamp,"$150,000","$173,500",GK
Sporting Kansas City,Nemanja,Radoja,"$800,000","$890,000",D-M
Sporting Kansas City,Chris,Rindov,"$67,360","$67,360",D
Sporting Kansas City,Dany,Rosero,"$456,000","$456,000",D
Sporting Kansas City,Johnny,Russell,"$1,000,000","$1,000,000",M
Sporting Kansas City,Dániel,Sallói,"$1,100,000","$1,100,000",M
Sporting Kansas City,Khiry,Shelton,"$575,000","$625,000",F
Sporting Kansas City,Erik,Thommy,"$1,550,000","$1,656,250",M-F
Sporting Kansas City,Marinos,Tzionis,"$625,000","$625,000",M
Sporting Kansas City,Robert,Voloder,"$425,000","$452,860",D
Sporting Kansas City,Rémi,Walter,"$850,000","$850,000",M
Sporting Kansas City,Graham,Zusi,"$325,000","$325,000",D
St. Louis City SC,Samuel,Adeniran,"$85,444","$85,444",F
St. Louis City SC,Rasmus,Alm,"$220,000","$284,425",M
St. Louis City SC,Lucas,Bartlett,"$85,444","$85,444",D
St. Louis City SC,Jon,Bell,"$88,200","$88,200",D
St. Louis City SC,Njabulo,Blom,"$246,000","$338,250",D-M
St. Louis City SC,Roman,Bürki,"$1,500,000","$1,632,469",GK
St. Louis City SC,Michael,Creek,"$85,444","$85,444",GK
St. Louis City SC,Nicholas,Gioacchini,"$380,004","$399,287",F
St. Louis City SC,Caden,Glover,"$67,360","$72,360",F
St. Louis City SC,Kyle,Hiebert,"$85,444","$85,444",D
St. Louis City SC,Aziel,Jackson,"$85,444","$89,341",M-F
St. Louis City SC,Isak,Jensen,"$175,000","$228,250",M
St. Louis City SC,João,Klauss de Mello,"$1,230,000","$1,370,284",F
St. Louis City SC,Eduard,Löwen,"$1,200,000","$1,344,250",M
St. Louis City SC,Ben,Lundt,"$100,000","$112,833",GK
St. Louis City SC,Anthony,Markanich,"$68,775","$68,775",D
St. Louis City SC,John,Nelson,"$160,000","$168,000",D
St. Louis City SC,Jake,Nerwinski,"$250,000","$277,500",D
St. Louis City SC,Joakim,Nilsson,"$1,102,450","$1,170,950",D
St. Louis City SC,Owen,O'Malley,"$67,360","$72,360",D
St. Louis City SC,Tomás,Ostrák,"$700,000","$801,000",M-F
St. Louis City SC,Tim,Parker,"$1,000,000","$1,037,500",D
St. Louis City SC,Miguel,Perez,"$67,360","$67,360",M
St. Louis City SC,Selmir,Pidro,"$325,000","$374,375",D
St. Louis City SC,Célio Antonio,Pompeu,"$68,775","$68,775",M
St. Louis City SC,Max,Schneider,"$68,775","$68,775",M
St. Louis City SC,Jared,Stroud,"$88,200","$103,200",M
St. Louis City SC,Nökkvi,Thórisson,"$150,000","$172,438",M
St. Louis City SC,Indiana,Vassilev,"$250,000","$281,250",M-F
St. Louis City SC,Akil,Watts,"$67,360","$67,360",D-M
St. Louis City SC,Joshua,Yaro,"$85,444","$85,444",D
Toronto FC,Themi,Antonoglou,"$68,775","$72,880",D
Toronto FC,Federico,Bernardeschi,"$3,125,000","$6,295,381",M
Toronto FC,Latif,Blessing,"$600,000","$665,000",M-F
Toronto FC,Michael,Bradley,"$614,286","$614,286",M
Toronto FC,Alonso,Coello,"$67,360","$71,693",D-M
Toronto FC,Adama,Diomande,"$525,000","$585,000",F
Toronto FC,Kobe,Franklin,"$67,360","$78,162",D
Toronto FC,Luka,Gavran,"$67,360","$70,827",GK
Toronto FC,Cristián,Gutiérrez,"$300,000","$311,667",D
Toronto FC,Lorenzo,Insigne,"$7,500,000","$15,400,000",M
Toronto FC,Sean,Johnson,"$405,751","$683,013",GK
Toronto FC,Deandre,Kerr,"$85,444","$90,763",M
Toronto FC,Aimé,Mabika,"$85,444","$93,569",D
Toronto FC,Cassius,Mailula,"$275,000","$291,003",M
Toronto FC,Jahkeele,Marshall-Rutty,"$152,500","$159,313",D
Toronto FC,Hugo,Mbongue,"$67,360","$78,787",F
Toronto FC,Shane,O'Neill,"$350,000","$388,000",D
Toronto FC,Jonathan,Osorio,"$1,400,000","$1,400,000",M
Toronto FC,Prince Osei,Owusu,"$600,000","$707,500",F
Toronto FC,Jordan,Perruzza,"$130,000","$132,500",F
Toronto FC,Raoul,Petretta,"$625,000","$856,625",D
Toronto FC,Greg,Ranjitsingh,"$95,000","$100,167",GK
Toronto FC,Tomás,Romero,"$120,000","$125,000",GK
Toronto FC,Sigurd,Rosted,"$763,636","$768,636",D
Toronto FC,C.J.,Sapong,"$600,000","$616,667",F
Toronto FC,Brandon,Servania,"$475,000","$530,833",M
Toronto FC,Luke,Singh,"$85,444","$93,410",D
Toronto FC,Kosi,Thompson,"$85,444","$90,704",M
Toronto FC,Víctor,Vázquez,"$268,000","$301,500",M-F
Vancouver Whitecaps,Sam,Adekugbe,"$729,516","$817,516",D
Vancouver Whitecaps,Ali,Ahmed,"$85,444","$94,819",M
Vancouver Whitecaps,Caio,Alexandre Souza e Silv,"$500,000","$562,500",M
Vancouver Whitecaps,Max,Anchor,"$67,360","$74,802",GK
Vancouver Whitecaps,Simon,Becher,"$67,360","$70,485",F
Vancouver Whitecaps,Sebastian,Berhalter,"$150,000","$160,250",M
Vancouver Whitecaps,Tristan,Blackmon,"$400,000","$451,208",D
Vancouver Whitecaps,Isaac,Boehmer,"$68,775","$68,775",GK
Vancouver Whitecaps,Javain,Brown,"$140,000","$153,688",D
Vancouver Whitecaps,Déiber,Caicedo,"$350,000","$381,125",M
Vancouver Whitecaps,Matteo,Campagna,"$85,444","$94,456",D
Vancouver Whitecaps,Andrés,Cubas,"$1,050,000","$1,146,375",D-M
Vancouver Whitecaps,Ryan,Gauld,"$2,400,000","$2,505,000",M-F
Vancouver Whitecaps,Kamron,Habibullah,"$85,444","$95,044",M
Vancouver Whitecaps,Thomas,Hasal,"$203,000","$222,412",GK
Vancouver Whitecaps,Junior,Hoilett,"$228,000","$228,000",M
Vancouver Whitecaps,Levonte,Johnson,"$67,360","$67,360",M
Vancouver Whitecaps,Mathías,Laborda,"$760,000","$903,625",D
Vancouver Whitecaps,Richie,Laryea,"$1,436,338","$1,436,338",D
Vancouver Whitecaps,Luís,Martins,"$300,000","$300,000",D
Vancouver Whitecaps,J.C.,Ngando,"$67,360","$85,359",D-M
Vancouver Whitecaps,Ryan,Raposo,"$120,000","$137,000",M
Vancouver Whitecaps,Alessandro,Schöpf,"$900,000","$992,500",M-F
Vancouver Whitecaps,Yohei,Takaoka,"$179,520","$297,233",GK
Vancouver Whitecaps,Russell,Teibert,"$400,000","$449,375",D-M
Vancouver Whitecaps,Ranko,Veselinovic,"$495,000","$580,500",D
Vancouver Whitecaps,Pedro,Vite,"$592,000","$645,997",M-F
Vancouver Whitecaps,Brian,White,"$511,000","$511,000",F
Vancouver Whitecaps,Karifa,Yao,"$89,716","$94,123",D
