,Date,Phase (degrees), Distance (M) ,Declination (degrees),Azimuth (degrees),Altitude (degrees)
3931,9:57:40 PM,11," 381,098,818 ",16.95017908,286.4867116,7.635277237
3932,9:57:40 PM,5," 383,396,685 ",17.77110345,278.3637862,17.06255193
3933,9:57:40 PM,2," 385,940,357 ",17.59043217,269.4032337,25.93143988
3934,9:57:40 PM,0," 388,679,643 ",16.46306276,259.0986639,33.92647172
3935,9:57:40 PM,1," 391,508,271 ",14.50429636,246.9417741,40.66651948
3936,9:57:40 PM,4," 394,265,878 ",11.86718879,232.6149332,45.67746386
3937,9:57:40 PM,8," 396,750,615 ",8.718598642,216.388002,48.46436205
3938,9:57:40 PM,14," 398,740,502 ",5.221223495,199.4094631,48.71379031
3939,9:57:40 PM,21," 400,018,608 ",1.52454785,183.2609288,46.49745539
3940,9:57:40 PM,29," 400,399,455 ",-2.236029716,169.0103674,42.23367223
3941,9:57:40 PM,38," 399,753,053 ",-5.934204502,156.8525351,36.44431168
3942,9:57:40 PM,48," 398,025,203 ",-9.444414559,146.4401029,29.56626678
3943,9:57:40 PM,57," 395,252,305 ",-12.6325746,137.2669539,21.90604569
3944,9:57:40 PM,67," 391,569,783 ",-15.34874352,128.8443881,13.67355208
3945,9:57:40 PM,76," 387,211,322 ",-17.42560356,120.7333882,5.073954587
3946,9:57:40 PM,84," 382,497,650 ",-18.68758769,112.5185694,-2.602060672
3947,9:57:40 PM,91," 377,811,146 ",-18.97438092,103.7622942,-13.19158661
3948,9:57:40 PM,97," 373,556,622 ",-18.17694195,93.95315901,-22.16900627
3949,9:57:40 PM,99," 370,109,840 ",-16.27492091,82.46803198,-30.60900444
3950,9:57:40 PM,100," 367,763,209 ",-13.35838521,68.61739871,-37.91130654
3951,9:57:40 PM,97," 366,680,577 ",-9.622082251,51.9504906,-43.25932076
3952,9:57:40 PM,91," 366,875,355 ",-5.334912366,32.95287607,-45.7846671
3953,9:57:40 PM,84," 368,219,362 ",-0.798871521,13.47698948,-45.01317674
3954,9:57:40 PM,74," 370,479,819 ",3.687535014,355.6937401,-41.22930999
3955,9:57:40 PM,63," 373,372,259 ",7.853674289,340.6024098,-35.2487178
3956,9:57:40 PM,52," 376,614,058 ",11.46936117,328.0005195,-27.91822239
3957,9:57:40 PM,41," 379,965,263 ",14.3505654,317.2286828,-19.8708252
3958,9:57:40 PM,31," 383,251,577 ",16.36342467,307.6271853,-11.52674849
3959,9:57:40 PM,21," 386,367,739 ",17.42894239,298.654038,-1.917357259
3960,9:57:40 PM,13," 389,266,135 ",17.52697169,289.8716168,5.162654412
3961,9:57:40 PM,7," 391,935,792 ",16.69584618,280.9083868,12.88041856
3962,9:57:40 PM,3," 394,377,304 ",15.02504429,271.4296689,20.11553721
3963,9:57:40 PM,1," 396,580,255 ",12.64164982,261.1304266,26.61035386
3964,9:57:40 PM,0," 398,505,773 ",9.694222066,249.7622597,32.11514312
3965,9:57:40 PM,2," 400,078,553 ",6.338203854,237.2073065,36.35501037
3966,9:57:40 PM,5," 401,188,179 ",2.725645786,223.5868711,39.06154455
3967,9:57:40 PM,10," 401,699,470 ",-0.999825177,209.3286053,40.03880802
3968,9:57:40 PM,16," 401,470,244 ",-4.703266992,195.0771834,39.23402732
3969,9:57:40 PM,23," 400,373,297 ",-8.255071181,181.4467076,36.75874285
3970,9:57:40 PM,32," 398,320,644 ",-11.52540135,168.7964049,32.83914659
3971,9:57:40 PM,41," 395,287,311 ",-14.37814869,157.182078,27.73679036
3972,9:57:40 PM,51," 391,332,024 ",-16.66685008,146.4423979,21.69275767
3973,9:57:40 PM,61," 386,612,674 ",-18.23597757,136.3044437,14.91300431
3974,9:57:40 PM,71," 381,392,308 ",-18.93146859,126.4489588,7.596332352
3975,9:57:40 PM,80," 376,032,303 ",-18.6229005,116.5335459,0.233190102
3976,9:57:40 PM,89," 370,967,007 ",-17.23504368,106.1911095,-8.22372194
3977,9:57:40 PM,95," 366,658,355 ",-14.77979195,95.02280079,-16.06023363
3978,9:57:40 PM,99," 363,531,848 ",-11.37541738,82.61138399,-23.39031923
3979,9:57:40 PM,100," 361,905,706 ",-7.243314459,68.59860203,-29.69215741
3980,9:57:40 PM,98," 361,931,447 ",-2.681677146,52.8782796,-34.3617187
3981,9:57:40 PM,93," 363,566,052 ",1.975319089,35.86488966,-36.85388739
3982,9:57:40 PM,86," 366,586,149 ",6.400353956,18.55523343,-36.90491915
3983,9:57:40 PM,77," 370,639,243 ",10.30749507,2.101749315,-34.67277234
3984,9:57:40 PM,66," 375,313,800 ",13.47382737,347.2262999,-30.6403755
3985,9:57:40 PM,56," 380,206,993 ",15.74895761,334.0531873,-25.38046901
3986,9:57:40 PM,45," 384,975,456 ",17.05549913,322.3287304,-19.38572467
3987,9:57:40 PM,34," 389,362,862 ",17.38323767,311.671395,-13.02038195
3988,9:57:40 PM,25," 393,206,549 ",16.77868517,301.7043185,-6.445540671
3989,9:57:40 PM,17," 396,427,588 ",15.33161808,292.0969471,0.359539264
3990,9:57:40 PM,10," 399,010,899 ",13.1607966,282.5667841,6.197310679
3991,9:57:40 PM,5," 400,980,270 ",10.40128366,272.871795,11.97874992
3992,9:57:40 PM,2," 402,373,598 ",7.194980005,262.8058993,17.31262053
3993,9:57:40 PM,0," 403,220,978 ",3.684675602,252.204189,22.02185497
3994,9:57:40 PM,0," 403,529,550 ",0.011040205,240.9598944,25.94197374
3995,9:57:40 PM,2," 403,276,151 ",-3.688193571,229.0511727,28.90795949
3996,9:57:40 PM,6," 402,409,370 ",-7.277481843,216.5654093,30.77127266
3997,9:57:40 PM,11," 400,859,683 ",-10.6217475,203.7003109,31.42371965
3998,9:57:40 PM,18," 398,557,254 ",-13.58440595,190.7237711,30.819043
3999,9:57:40 PM,26," 395,454,955 ",-16.02620098,177.8997084,28.98068734
4000,9:57:40 PM,35," 391,553,447 ",-17.80648304,165.4143958,25.99161897
4001,9:57:40 PM,45," 386,926,262 ",-18.78902905,153.337829,21.97369872
