FID,X,Y,Call_Taken,Location,Day,x2,y2
51,-10378646.190976,5615227.913619,12/29/2015 12:00:00 AM,2307 27th ave s,Day 1,-10378646.190975,5615227.91361942
52,-10380208.583778,5617324.244726,12/29/2015 12:00:00 AM,1821 Washington Ave S,Day 1,-10380208.5837772,5617324.24472571
53,-10378646.427531,5615200.994983,12/29/2015 12:00:00 AM,2327 27th Ave s,Day 1,-10378646.4275304,5615200.99498261
54,0,0,12/29/2015 12:00:00 AM,279 w 15th st,Day 1
55,-10384316.378528,5619069.943596,12/29/2015 12:00:00 AM,601 n 7th st n,Day 1,-10384316.3785274,5619069.94359609
56,-10381994.869937,5622556.513477,12/29/2015 12:00:00 AM,1819 University Ave NE,Day 1,-10381994.8699359,5622556.51347716
57,0,0,12/29/2015 12:00:00 AM,132 w 15th st,Day 1
58,-10382808.688067,5613279.362539,12/29/2015 12:00:00 AM,3042 4 AVE S,Day 1,-10382808.6880664,5613279.36253854
59,0,0,12/29/2015 12:00:00 AM,279 w 15th st,Day 1
60,0,0,12/29/2015 12:00:00 AM,160 w 15th,Day 1
61,-10380219.382541,5617334.517257,12/29/2015 12:00:00 AM,1818 Washington Ave s,Day 1,-10380219.3825397,5617334.51725683
62,0,0,12/29/2015 12:00:00 AM,19 w 15th st,Day 1
63,-10380804.692252,5614717.95329,12/29/2015 12:00:00 AM,2531 bloomington ave s,Day 1,-10380804.6922512,5614717.95328986
64,-10383067.954481,5615614.665952,12/29/2015 12:00:00 AM,2021 3rd ave s,Day 1,-10383067.9544797,5615614.66595198
65,-10378654.595547,5614431.641883,12/29/2015 12:00:00 AM,2635 27 th ave s,Day 1,-10378654.5955458,5614431.6418833
66,-10380804.495847,5614739.693072,12/29/2015 12:00:00 AM,2523 BLOOMINGTON AVE S,Day 1,-10380804.495846,5614739.6930716
67,0,0,12/29/2015 12:00:00 AM,708 VAN WHITE,Day 1
68,-10383081.89013,5615819.100299,12/29/2015 12:00:00 AM,1912 3rd ave s,Day 1,-10383081.8901292,5615819.10029936
69,-10380253.983628,5622197.178343,12/29/2015 12:00:00 AM,1620 Central Ave NE,Day 1,-10380253.9836268,5622197.17834272
70,-10383072.684647,5619639.487918,12/29/2015 12:00:00 AM,526 1ST ST N,Day 1,-10383072.6846462,5619639.48791759
71,-10379867.468881,5618955.288423,12/29/2015 12:00:00 AM,810 4th st se,Day 1,-10379867.4688799,5618955.28842349
72,-10381683.073341,5621662.725169,12/29/2015 12:00:00 AM,13th Ave & 5th St NE,Day 1,-10381683.07334,5621662.72516932
73,0,0,12/29/2015 12:00:00 AM,1120 van white ave n,Day 1
74,0,0,12/29/2015 12:00:00 AM,1128 van white,Day 1
75,0,0,12/29/2015 12:00:00 AM,59 n 4th ave,Day 1
76,-10383068.06175,5615475.627061,12/29/2015 12:00:00 AM,2125 3rd Ave S,Day 1,-10383068.0617488,5615475.62706062
77,0,0,12/29/2015 12:00:00 AM,3825 3rd,Day 1
