FID,X,Y,Call_Taken,Location,Day,x2,y2
442,-10380606.628477,5619185.472438,12/30/2015 12:00:00 AM,302 4th ave SE,Day 2,-10380606.6284757,5619185.47243798
443,-10380595.030202,5619206.271568,12/30/2015 12:00:00 AM,316 4th ave se,Day 2,-10380595.0302014,5619206.27156789
444,-10381697.587932,5620245.423682,12/30/2015 12:00:00 AM,224 4th ave ne,Day 2,-10381697.5879307,5620245.42368231
445,-10380603.314684,5619191.415047,12/30/2015 12:00:00 AM,306 4 th ave se,Day 2,-10380603.3146831,5619191.41504653
446,-10380588.402617,5619218.156785,12/30/2015 12:00:00 AM,324 4th ave se,Day 2,-10380588.402616,5619218.15678498
447,-10381728.2483,5620230.436507,12/30/2015 12:00:00 AM,204 4th ave ne,Day 2,-10381728.248299,5620230.43650712
448,-10385104.890708,5619737.015539,12/30/2015 12:00:00 AM,1032 Aldrich ave n,Day 2,-10385104.8907067,5619737.01553944
449,-10386493.081199,5613042.447015,12/30/2015 12:00:00 AM,3124 James ave s,Day 2,-10386493.0811977,5613042.44701476
450,-10386491.169551,5613275.788524,12/30/2015 12:00:00 AM,3042 James ave s,Day 2,-10386491.1695499,5613275.78852354
451,-10380069.885086,5619723.533085,12/30/2015 12:00:00 AM,716 5th ave se,Day 2,-10380069.8850848,5619723.53308492
452,-10381783.212142,5615634.671279,12/30/2015 12:00:00 AM,2010 Elliot,Day 2,-10381783.2121409,5615634.67127909
453,-10381712.918116,5620237.930095,12/30/2015 12:00:00 AM,214 4th ave ne,Day 2,-10381712.9181149,5620237.93009472
454,-10381383.489528,5611991.278533,12/30/2015 12:00:00 AM,3504 12th Ave s,Day 2,-10381383.4895268,5611991.27853269
455,-10381382.582356,5611882.117735,12/30/2015 12:00:00 AM,3544 12th ave s,Day 2,-10381382.5823549,5611882.11773463
456,-10380111.938455,5611141.488175,12/30/2015 12:00:00 AM,3802 Longfellow ave s,Day 2,-10380111.9384541,5611141.48817501
457,-10380064.888353,5619732.36933,12/30/2015 12:00:00 AM,722 5th ave se,Day 2,-10380064.8883518,5619732.36933043
458,-10380590.059513,5619215.185481,12/30/2015 12:00:00 AM,322 4th ave se,Day 2,-10380590.0595123,5619215.18548071
459,-10380659.07939,5620542.799074,12/30/2015 12:00:00 AM,820 3rd ave ne,Day 2,-10380659.0793892,5620542.79907434
460,-10385618.347644,5620084.403168,12/30/2015 12:00:00 AM,1200 fremont ave north,Day 2,-10385618.3476433,5620084.40316767
461,-10381783.265741,5615623.868022,12/30/2015 12:00:00 AM,2018 ELLIOT AVE,Day 2,-10381783.2657403,5615623.86802187
462,-10381783.837753,5615501.941754,12/30/2015 12:00:00 AM,2104 elliot ave.,Day 2,-10381783.8377517,5615501.94175437
463,-10386490.947498,5613302.385083,12/30/2015 12:00:00 AM,3032 James ave s.,Day 2,-10386490.9474973,5613302.3850835
464,-10386491.036319,5613291.74646,12/30/2015 12:00:00 AM,3036 James Ave South,Day 2,-10386491.0363183,5613291.74645951
465,-10386490.503393,5613355.578203,12/30/2015 12:00:00 AM,3012 JAMES AVE S,Day 2,-10386490.503392,5613355.5782034
466,-10386490.769856,5613323.662331,12/30/2015 12:00:00 AM,3024 James ave s.,Day 2,-10386490.7698551,5613323.66233146
467,-10380423.618185,5619090.618903,12/30/2015 12:00:00 AM,306 5th ave se,Day 2,-10380423.6181837,5619090.6189028
468,-10380411.976014,5619111.301526,12/30/2015 12:00:00 AM,320 5th ave se,Day 2,-10380411.9760132,5619111.30152556
469,0,0,12/30/2015 12:00:00 AM,2418  N 3rd st,Day 2
470,-10386490.414572,5613366.216827,12/30/2015 12:00:00 AM,3008 JAMES AVE S,Day 2,-10386490.4145709,5613366.21682738
471,-10381783.833545,5615504.649322,12/30/2015 12:00:00 AM,2102 ELLIOT AVE,Day 2,-10381783.8335442,5615504.64932193
472,-10380403.660178,5619126.074828,12/30/2015 12:00:00 AM,330 5th ave se,Day 2,-10380403.660177,5619126.07482752
473,-10380406.986512,5619120.165507,12/30/2015 12:00:00 AM,326 5th ave se,Day 2,-10380406.9865115,5619120.16550674
474,-10386490.991909,5613297.065772,12/30/2015 12:00:00 AM,3034 James Ave South,Day 2,-10386490.9919078,5613297.06577151
475,-10385276.834644,5621195.21301,12/30/2015 12:00:00 AM,1828 Dupont Ave N,Day 2,-10385276.8346429,5621195.21301015
476,-10380233.889644,5619430.498347,12/30/2015 12:00:00 AM,526 5 th ave se,Day 2,-10380233.8896427,5619430.4983466
477,-10385276.831236,5621189.943915,12/30/2015 12:00:00 AM,1826 DuPont Ave n,Day 2,-10385276.8312348,5621189.94391484
478,-10380071.550664,5619720.58767,12/30/2015 12:00:00 AM,714 5th Ave se,Day 2,-10380071.5506625,5619720.58766975
479,-10385276.821012,5621174.136629,12/30/2015 12:00:00 AM,1820 dupont Ave n,Day 2,-10385276.8210106,5621174.1366289
480,-10385201.489389,5615873.397881,12/30/2015 12:00:00 AM,1916 colfax av s,Day 2,-10385201.4893877,5615873.39788088
481,-10382278.600213,5617410.701988,12/30/2015 12:00:00 AM,712 5th ave s,Day 2,-10382278.6002116,5617410.70198826
482,-10380725.233918,5620509.938426,12/30/2015 12:00:00 AM,720 - 3RD AVE NE,Day 2,-10380725.2339167,5620509.93842649
483,-10381731.314337,5620228.93779,12/30/2015 12:00:00 AM,202 4th AVE NE,Day 2,-10381731.3143358,5620228.9377896
484,-10381383.308093,5611969.446373,12/30/2015 12:00:00 AM,3512 12th ave S,Day 2,-10381383.3080924,5611969.44637308
485,-10385276.838052,5621200.482105,12/30/2015 12:00:00 AM,1830 dupont ave n,Day 2,-10385276.838051,5621200.48210546
486,-10380981.358481,5620281.971034,12/30/2015 12:00:00 AM,238 6th st ne,Day 2,-10380981.3584796,5620281.97103363
487,-10381399.093724,5621134.164831,12/30/2015 12:00:00 AM,718 6th st ne,Day 2,-10381399.0937233,5621134.16483096
488,-10381383.217376,5611958.530293,12/30/2015 12:00:00 AM,3516 12th ave S,Day 2,-10381383.2173752,5611958.53029327
489,-10385276.817603,5621168.867534,12/30/2015 12:00:00 AM,1818 dupont Ave n,Day 2,-10385276.8176025,5621168.86753359
490,-10381784.000245,5615353.927325,12/30/2015 12:00:00 AM,2206 Elliot ave,Day 2,-10381784.0002439,5615353.92732462
491,-10381097.107784,5610266.826546,12/30/2015 12:00:00 AM,4112 14th ave s,Day 2,-10381097.1077827,5610266.82654642
492,-10380340.233152,5619238.895999,12/30/2015 12:00:00 AM,402 5th ave se,Day 2,-10380340.2331507,5619238.89599865
493,-10381690.531614,5620653.212848,12/30/2015 12:00:00 AM,328 6th ave ne,Day 2,-10381690.5316132,5620653.21284841
494,-10385276.84146,5621205.751201,12/30/2015 12:00:00 AM,1832 dupont Ave n,Day 2,-10385276.8414591,5621205.75120077
495,-10381561.074996,5620715.761625,12/30/2015 12:00:00 AM,408 6th ave ne,Day 2,-10381561.0749949,5620715.76162507
496,-10381237.078119,5610866.301954,12/30/2015 12:00:00 AM,3900 13th ave s,Day 2,-10381237.0781177,5610866.30195413
497,-10381395.398848,5621127.731192,12/30/2015 12:00:00 AM,712 6th st ne,Day 2,-10381395.3988474,5621127.73119164
498,-10382353.402105,5624167.355397,12/30/2015 12:00:00 AM,2718 3rd st n,Day 2,-10382353.4021042,5624167.35539724
499,-10380328.615532,5619259.919988,12/30/2015 12:00:00 AM,416 5th ave se,Day 2,-10380328.6155307,5619259.91998824
500,-10380989.00371,5620296.457641,12/30/2015 12:00:00 AM,250 6th st ne,Day 2,-10380989.0037087,5620296.45764075
501,-10383489.430922,5615478.13647,12/30/2015 12:00:00 AM,2123 1st Street south,Day 1,-10383489.430921,5615478.1364702
502,0,0,12/30/2015 12:00:00 AM,15th / oak grove,Day 1
503,-10380802.641176,5610725.835569,12/30/2015 12:00:00 AM,3951 bloomington,Day 1,-10380802.6411753,5610725.83556864
504,0,0,12/30/2015 12:00:00 AM,801 n. washington ave.,Day 1
505,0,0,12/30/2015 12:00:00 AM,17th como ave s e,Day 1
506,-10383813.567626,5616361.289287,12/30/2015 12:00:00 AM,1536 La sale ave s.,Day 1,-10383813.5676246,5616361.2892865
507,0,0,12/30/2015 12:00:00 AM,13th Ave & Grand,Day 1
508,-10383867.268393,5619656.843363,12/30/2015 12:00:00 AM,808 3rd st n,Day 1,-10383867.2683924,5619656.84336252
509,-10378118.400953,5619599.669586,12/30/2015 12:00:00 AM,1704 como ave se,Day 1,-10378118.4009524,5619599.6695865
510,0,0,12/30/2015 12:00:00 AM,13th Ave & Grand,Day 1
511,-10387507.359617,5609658.307893,12/30/2015 12:00:00 AM,2552 43rd st w,Day 1,-10387507.359616,5609658.30789266
512,-10385611.523029,5623328.044786,12/30/2015 12:00:00 AM,3010 Fremont  Ave N,Day 1,-10385611.5230276,5623328.04478593
513,0,0,12/30/2015 12:00:00 AM,2752 e 38 st,Day 1
514,-10380361.549367,5618615.210711,12/30/2015 12:00:00 AM,662 main st se,Day 1,-10380361.5493662,5618615.21071106
515,-10387605.11115,5609640.360994,12/30/2015 12:00:00 AM,2678 W 43 ST W,Day 1,-10387605.1111494,5609640.3609943
516,-10387759.751265,5620195.622426,12/30/2015 12:00:00 AM,2714 Plymouth ave n,Day 1,-10387759.7512637,5620195.62242585
517,0,0,12/30/2015 12:00:00 AM,916 N Washington Ave,Day 1
518,-10384182.099441,5616996.88237,12/30/2015 12:00:00 AM,1300 WILLOW ST,Day 1,-10384182.0994402,5616996.88237032
519,0,0,12/30/2015 12:00:00 AM,13th Ave & Grand,Day 1
520,-10387564.459057,5609633.210157,12/30/2015 12:00:00 AM,2638 43rd st w,Day 1,-10387564.4590558,5609633.21015719
521,-10383831.978429,5615301.406719,12/30/2015 12:00:00 AM,2245 Blaisdell ave s,Day 1,-10383831.9784282,5615301.40671903
522,-10387564.459057,5609633.210157,12/30/2015 12:00:00 AM,2638 43 st w,Day 1,-10387564.4590558,5609633.21015719
523,-10385611.523029,5623328.044786,12/30/2015 12:00:00 AM,3010 Fremont ave n,Day 1,-10385611.5230276,5623328.04478593
524,-10383209.291727,5619413.963967,12/30/2015 12:00:00 AM,209 5th Ave n,Day 1,-10383209.2917258,5619413.96396744
525,-10385622.165176,5622917.918277,12/30/2015 12:00:00 AM,2825 fremont ave n,Day 1,-10385622.1651747,5622917.91827712
526,0,0,12/30/2015 12:00:00 AM,2205 blaisdell s,Day 1
527,0,0,12/30/2015 12:00:00 AM,2245 blaidsdell ave,Day 1
528,-10383801.423104,5616328.87655,12/30/2015 12:00:00 AM,1553 LaSalle Ave,Day 1,-10383801.4231035,5616328.87654956
529,-10380361.549367,5618615.210711,12/30/2015 12:00:00 AM,662 main st se,Day 1,-10380361.5493662,5618615.21071106
530,-10385623.433533,5623779.190879,12/30/2015 12:00:00 AM,3232 Fremont ave n,Day 1,-10385623.4335325,5623779.19087949
531,0,0,12/30/2015 12:00:00 AM,rear,Day 1
532,-10385609.969566,5622912.543198,12/30/2015 12:00:00 AM,2820 Fremont Ave n,Day 1,-10385609.9695646,5622912.54319814
533,-10383844.662448,5615213.226184,12/30/2015 12:00:00 AM,2310 blaisdell,Day 1,-10383844.6624471,5615213.22618403
534,0,0,12/30/2015 12:00:00 AM,2311 blaisedale s,Day 1
535,-10378611.020157,5619059.375398,12/30/2015 12:00:00 AM,1400 8th st SE,Day 1,-10378611.0201564,5619059.3753981
536,-10383832.217064,5615258.619552,12/30/2015 12:00:00 AM,2277 blaisdell,Day 1,-10383832.2170629,5615258.61955204
537,-10383831.72488,5615346.868084,12/30/2015 12:00:00 AM,2211 Blaisdell Ave S,Day 1,-10383831.7248787,5615346.86808395
538,-10383497.764831,5614529.062052,12/30/2015 12:00:00 AM,100 26th st e,Day 1,-10383497.7648303,5614529.06205248
539,0,0,12/30/2015 12:00:00 AM,829 3rd st n space no. 1829,Day 1
540,0,0,12/30/2015 12:00:00 AM,507 e 15th st,Day 1
541,-10378546.232606,5610186.2038,12/30/2015 12:00:00 AM,4141 28th ave s,Day 1,-10378546.2326054,5610186.20379967
542,-10380453.703219,5619036.578602,12/30/2015 12:00:00 AM,274 5th ave se,Day 1,-10380453.7032176,5619036.57860152
543,0,0,12/30/2015 12:00:00 AM,507 E 15th St,Day 1
544,0,0,12/30/2015 12:00:00 AM,Minneapolis,Day 1
545,-10378459.016646,5618980.436718,12/30/2015 12:00:00 AM,15th Ave and 8th St se,Day 1,-10378459.0166451,5618980.4367175
546,-10380011.68215,5623588.260003,12/30/2015 12:00:00 AM,1016 Lowry Ave NE,Day 1,-10380011.682149,5623588.26000276
547,-10383092.135055,5613314.926364,12/30/2015 12:00:00 AM,3028 3rd av s,Day 1,-10383092.1350544,5613314.92636412
548,-10378611.020157,5619059.375398,12/30/2015 12:00:00 AM,1400 8th St SE,Day 1,-10378611.0201564,5619059.3753981
549,0,0,12/30/2015 12:00:00 AM,University and 8,Day 1
550,0,0,12/30/2015 12:00:00 AM,656 e 15th,Day 1
551,-10385623.752316,5623932.461062,12/30/2015 12:00:00 AM,3319 fremont ave n,Day 1,-10385623.7523154,5623932.46106234
552,-10383883.335894,5621144.718896,12/30/2015 12:00:00 AM,1813 2nd st so,Day 1,-10383883.3358931,5621144.71889553
553,-10385623.995322,5624484.907786,12/30/2015 12:00:00 AM,3513 Fremont ave n,Day 1,-10385623.9953205,5624484.90778585
554,0,0,12/30/2015 12:00:00 AM,13 Ave NE,Day 1
555,-10381306.866998,5619754.645726,12/30/2015 12:00:00 AM,77 university ave ne,Day 1,-10381306.8669972,5619754.64572611
556,-10380625.295866,5618974.714124,12/30/2015 12:00:00 AM,442 2nd st se,Day 1,-10380625.2958649,5618974.71412377
557,0,0,12/30/2015 12:00:00 AM,3614 Fremont,Day 1
558,-10380769.499234,5619259.821523,12/30/2015 12:00:00 AM,300 University AVE SE,Day 1,-10380769.4992325,5619259.82152349
559,0,0,12/30/2015 12:00:00 AM,2408 blaisdale,Day 1
560,-10385624.537559,5624796.455705,12/30/2015 12:00:00 AM,3623 fremont ave n,Day 1,-10385624.5375585,5624796.45570501
561,0,0,12/30/2015 12:00:00 AM,800 n Washington ave,Day 1
562,-10380505.860066,5618967.680972,12/30/2015 12:00:00 AM,225 5 ave se,Day 1,-10380505.8600654,5618967.68097176
563,-10378545.866972,5610656.289527,12/30/2015 12:00:00 AM,3977 28th ave s,Day 1,-10378545.8669706,5610656.28952684
564,-10383972.937217,5623717.751259,12/30/2015 12:00:00 AM,3247 2nd St N,Day 1,-10383972.9372165,5623717.75125908
565,-10380802.814309,5609646.366032,12/30/2015 12:00:00 AM,4333 bloomington ave s,Day 1,-10380802.8143083,5609646.36603158
566,0,0,12/30/2015 12:00:00 AM,4349 28th,Day 1
567,0,0,12/30/2015 12:00:00 AM,1726 e 15th st,Day 1
568,0,0,12/30/2015 12:00:00 AM,Franklin/ blaisdale,Day 1
569,-10383076.778334,5612831.910726,12/30/2015 12:00:00 AM,3209 3RD AVE S,Day 1,-10383076.7783333,5612831.91072588
570,0,0,12/30/2015 12:00:00 AM,15th ave se,Day 1
571,-10385612.190563,5624780.172406,12/30/2015 12:00:00 AM,3616 Fremont ave n,Day 1,-10385612.1905618,5624780.17240567
572,0,0,12/30/2015 12:00:00 AM,2518 Fremont ave n Minneapolis,Day 1
573,-10385612.138723,5624774.7061,12/30/2015 12:00:00 AM,3614 Fremont ave n,Day 1,-10385612.1387217,5624774.70609959
574,0,0,12/30/2015 12:00:00 AM,726 E 15TH ST,Day 1
575,-10382726.786904,5621563.330845,12/30/2015 12:00:00 AM,107 13th Ave NE,Day 1,-10382726.7869029,5621563.33084493
576,-10381941.886863,5609936.981041,12/30/2015 12:00:00 AM,4230 chicago ave s,Day 1,-10381941.8868618,5609936.98104124
577,-10380820.862521,5612252.337806,12/30/2015 12:00:00 AM,3412 Bloomington ave s,Day 1,-10380820.8625202,5612252.33780602
578,-10383073.882593,5612456.059026,12/30/2015 12:00:00 AM,3343 3RD AVE S,Day 1,-10383073.882592,5612456.05902605
579,-10380253.336142,5619031.193793,12/30/2015 12:00:00 AM,324 6th ave se,Day 2,-10380253.3361414,5619031.19379286
580,-10382726.786904,5621563.330845,12/30/2015 12:00:00 AM,107 13th Ave NE,Day 1,-10382726.7869029,5621563.33084493
581,0,0,12/30/2015 12:00:00 AM,E 16th/ Chicago,Day 1
582,-10378820.622393,5619671.992825,12/30/2015 12:00:00 AM,1012 12th ave SE,Day 2,-10378820.6223918,5619671.99282503
583,0,0,12/30/2015 12:00:00 AM,726 E 15TH ST,Day 1
584,-10385623.433533,5623779.190879,12/30/2015 12:00:00 AM,3232 Fremont ave n,Day 1,-10385623.4335325,5623779.19087949
585,0,0,12/30/2015 12:00:00 AM,606 e 15th st,Day 1
586,-10385202.112521,5616139.341955,12/30/2015 12:00:00 AM,1780 colfax av s,Day 2,-10385202.1125198,5616139.34195543
587,-10382609.798192,5621613.313914,12/30/2015 12:00:00 AM,13th Ave NE & Grand,Day 1,-10382609.7981914,5621613.31391425
588,-10385615.313161,5625114.577819,12/30/2015 12:00:00 AM,3734 Fremont Ave n,Day 1,-10385615.3131605,5625114.57781851
589,-10378820.618529,5619681.28097,12/30/2015 12:00:00 AM,1014 12th ave SE,Day 2,-10378820.6185284,5619681.28097043
590,-10383069.384441,5615046.774688,12/30/2015 12:00:00 AM,2417 3rd ave s,Day 1,-10383069.3844399,5615046.77468758
591,-10383801.488404,5616284.333612,12/30/2015 12:00:00 AM,1575 lasalle av,Day 1,-10383801.4884025,5616284.33361196
592,-10387872.805653,5620281.238722,12/30/2015 12:00:00 AM,1330 Vincent ave n,Day 2,-10387872.8056521,5620281.238722
593,-10383513.559635,5612164.451944,12/30/2015 12:00:00 AM,3444 1ST AVE S,Day 1,-10383513.559634,5612164.4519436
594,-10383350.108522,5614516.553902,12/30/2015 12:00:00 AM,129 26th st e,Day 1,-10383350.1085207,5614516.55390216
595,-10380440.537692,5618698.119263,12/30/2015 12:00:00 AM,110 6th ave ne,Day 2,-10380440.5376913,5618698.11926323
596,-10383791.010084,5619318.965877,12/30/2015 12:00:00 AM,712 4th st n,Day 1,-10383791.0100833,5619318.96587695
597,0,0,12/30/2015 12:00:00 AM,1300. Blk harmon pl,Day 1
598,-10386492.63982,5613098.536888,12/30/2015 12:00:00 AM,3104 James ave s,Day 2,-10386492.6398189,5613098.53688848
599,-10383513.225343,5612786.759573,12/30/2015 12:00:00 AM,3224 1st ave s,Day 1,-10383513.2253418,5612786.75957348
600,0,0,12/30/2015 12:00:00 AM,2106 Fremont ace n Minneapolis,Day 1
601,-10388016.584937,5619843.003571,12/30/2015 12:00:00 AM,1102 washburn ave n,Day 2,-10388016.5849359,5619843.00357065
602,-10381949.713211,5614780.968231,12/30/2015 12:00:00 AM,2506 Chicago ave s,Day 1,-10381949.7132104,5614780.9682311
603,-10382596.056436,5621626.72761,12/30/2015 12:00:00 AM,127 13th Ave NE,Day 1,-10382596.0564347,5621626.72760999
604,-10382181.927785,5620668.444772,12/30/2015 12:00:00 AM,120 7th ave ne,Day 2,-10382181.927784,5620668.44477202
605,-10385643.326752,5626276.124843,12/30/2015 12:00:00 AM,4131 freemount ave n,Day 1,-10385643.3267515,5626276.12484318
606,-10383831.739794,5615344.193886,12/30/2015 12:00:00 AM,2213 blaisdell av,Day 1,-10383831.7397934,5615344.19388601
607,-10380809.658914,5612456.859161,12/30/2015 12:00:00 AM,3333 Bloomington ave s,Day 1,-10380809.6589127,5612456.8591607
608,-10380437.145724,5618704.059145,12/30/2015 12:00:00 AM,114 6th ave ne,Day 2,-10380437.1457232,5618704.0591453
609,0,0,12/30/2015 12:00:00 AM,2427 blaisdell s,Day 1
610,-10383088.798012,5612799.281319,12/30/2015 12:00:00 AM,3220 3rd ave s,Day 1,-10383088.7980105,5612799.28131927
611,-10378546.916365,5609940.659269,12/30/2015 12:00:00 AM,4227 28th ave s,Day 1,-10378546.9163638,5609940.65926857
612,-10386493.169474,5613031.22904,12/30/2015 12:00:00 AM,3128 James ave s,Day 2,-10386493.1694735,5613031.22904001
613,-10383895.133073,5619685.000866,12/30/2015 12:00:00 AM,832 3rd st n,Day 1,-10383895.1330722,5619685.00086555
614,-10378612.628215,5619067.287486,12/30/2015 12:00:00 AM,14 ave se and 8th St se,Day 1,-10378612.6282138,5619067.28748563
615,-10388016.578327,5619840.344218,12/30/2015 12:00:00 AM,1100 Washburn ave n,Day 2,-10388016.578326,5619840.34421816
616,-10383801.543662,5616604.233323,12/30/2015 12:00:00 AM,1401 lasalle,Day 1,-10383801.5436611,5616604.23332314
617,-10380019.468402,5617665.539303,12/30/2015 12:00:00 AM,1909 1st Street south,Day 1,-10380019.468401,5617665.53930327
618,-10381730.495298,5620633.927122,12/30/2015 12:00:00 AM,302 6th ave ne,Day 2,-10381730.4952966,5620633.92712179
619,-10383813.412203,5616693.796916,12/30/2015 12:00:00 AM,1374 Lasalle Ave,Day 1,-10383813.4122019,5616693.79691561
620,-10381662.381024,5611658.877764,12/30/2015 12:00:00 AM,3622 10th ave s,Day 2,-10381662.3810232,5611658.87776391
621,-10385617.058635,5621158.950581,12/30/2015 12:00:00 AM,1814 Fremont Ave n,Day 1,-10385617.0586339,5621158.95058068
622,0,0,12/30/2015 12:00:00 AM,2511 CHICAGO AVE A,Day 1
623,-10388016.591547,5619845.662923,12/30/2015 12:00:00 AM,1104 washburn ave n,Day 2,-10388016.5915458,5619845.66292315
624,-10387565.598386,5609446.31507,12/30/2015 12:00:00 AM,2672 44th st w,Day 1,-10387565.5983855,5609446.31507044
625,-10381948.621057,5615014.409383,12/30/2015 12:00:00 AM,2424 Chicago AV s,Day 1,-10381948.6210559,5615014.40938325
626,-10380848.888408,5610879.270695,12/30/2015 12:00:00 AM,1516 39th st E,Day 2,-10380848.8884071,5610879.27069521
627,-10382726.786904,5621563.330845,12/30/2015 12:00:00 AM,107 13th Ave NE,Day 1,-10382726.7869029,5621563.33084493
628,-10381954.021422,5614179.34313,12/30/2015 12:00:00 AM,2720 Chicago AV s,Day 1,-10381954.0214207,5614179.3431303
629,-10383813.538959,5616490.885095,12/30/2015 12:00:00 AM,1470 LaSalle,Day 1,-10383813.5389583,5616490.88509476
630,-10380254.952668,5619028.266633,12/30/2015 12:00:00 AM,322 6th ave se,Day 2,-10380254.9526673,5619028.26663267
631,-10385616.788797,5621497.790006,12/30/2015 12:00:00 AM,2026 Fremont Ave n,Day 1,-10385616.7887957,5621497.79000648
632,-10382726.786904,5621563.330845,12/30/2015 12:00:00 AM,107 13th Ave NE,Day 1,-10382726.7869029,5621563.33084493
633,-10380443.92966,5618692.179381,12/30/2015 12:00:00 AM,106 6th ave ne,Day 2,-10380443.9296594,5618692.17938116
634,0,0,12/30/2015 12:00:00 AM,4729 2oth ave so,Day 1
635,-10383779.804664,5619307.665037,12/30/2015 12:00:00 AM,704 4th st n,Day 1,-10383779.8046625,5619307.66503706
636,-10385446.776639,5621780.037006,12/30/2015 12:00:00 AM,2210 emerson ave north,Day 1,-10385446.7766377,5621780.0370063
637,-10380114.259524,5612495.631171,12/30/2015 12:00:00 AM,3316 Longfellow Ave s,Day 2,-10380114.2595228,5612495.63117092
638,0,0,12/30/2015 12:00:00 AM,4130 Fremont ave n Minneapolis,Day 1
639,0,0,12/30/2015 12:00:00 AM,2678 WEST 43RD ST,Day 1
640,-10384220.815,5613921.128699,12/30/2015 12:00:00 AM,2818 pleasant ave s.,Day 2,-10384220.8149991,5613921.12869869
641,-10383514.492736,5612996.80494,12/30/2015 12:00:00 AM,3148 1st Avenue South,Day 1,-10383514.492735,5612996.80494005
642,-10382346.109032,5621536.204061,12/30/2015 12:00:00 AM,1224 2nd St NE,Day 1,-10382346.1090306,5621536.20406115
643,-10387875.882918,5619656.18457,12/30/2015 12:00:00 AM,1020 vincent ave north,Day 2,-10387875.8829168,5619656.18456982
644,0,0,12/30/2015 12:00:00 AM,14th&LaSalle Ave,Day 1
645,-10385617.134239,5621121.909026,12/30/2015 12:00:00 AM,1800 Fremont Ave N,Day 1,-10385617.1342378,5621121.90902591
646,-10383801.386295,5616513.57167,12/30/2015 12:00:00 AM,1457 lasalle ave s,Day 1,-10383801.386294,5616513.57167037
647,-10385898.774814,5619947.566408,12/30/2015 12:00:00 AM,1130 humbolt ave n,Day 2,-10385898.7748131,5619947.56640805
648,-10378552.961945,5608561.287703,12/30/2015 12:00:00 AM,4723 28th ave so,Day 1,-10378552.9619438,5608561.28770296
649,-10381949.809103,5614753.904298,12/30/2015 12:00:00 AM,2516 Chicago AV s,Day 1,-10381949.8091017,5614753.90429788
650,-10380447.321629,5618686.239499,12/30/2015 12:00:00 AM,102 6th ave ne,Day 2,-10380447.3216275,5618686.23949909
651,0,0,12/30/2015 12:00:00 AM,13th & Grand,Day 1
652,-10380814.82489,5610742.252688,12/30/2015 12:00:00 AM,3944 bloomington,Day 1,-10380814.8248886,5610742.25268766
653,-10383981.406763,5616627.752122,12/30/2015 12:00:00 AM,1390 spruce pl,Day 2,-10383981.406762,5616627.75212209
654,-10381437.766888,5619616.48852,12/30/2015 12:00:00 AM,37 2nd St NE,Day 1,-10381437.7668872,5619616.48851953
655,-10383671.883215,5619442.47279,12/30/2015 12:00:00 AM,713 3rd st n,Day 1,-10383671.8832141,5619442.47278961
656,-10380164.168606,5619554.41151,12/30/2015 12:00:00 AM,606 5th ave SE,Day 2,-10380164.1686048,5619554.41151009
657,0,0,12/30/2015 12:00:00 AM,2570 W 43rd ST,Day 1
658,0,0,12/30/2015 12:00:00 AM,Walnut st se and Delaware,Day 1
659,-10385899.625288,5620056.775306,12/30/2015 12:00:00 AM,1206 Humboldt Ave N,Day 2,-10385899.6252874,5620056.77530606
660,-10385446.297356,5621486.949261,12/30/2015 12:00:00 AM,2014 emerson ave north,Day 1,-10385446.2973554,5621486.9492608
661,-10380955.561215,5611110.781197,12/30/2015 12:00:00 AM,3814 15th Ave S,Day 2,-10380955.5612144,5611110.78119689
662,0,0,12/30/2015 12:00:00 AM,2727 44st w,Day 1
663,-10381437.766888,5619616.48852,12/30/2015 12:00:00 AM,37 2nd St NE,Day 1,-10381437.7668872,5619616.48851953
664,-10378822.508183,5619601.562058,12/30/2015 12:00:00 AM,1200 Como Ave SE,Day 1,-10378822.5081816,5619601.56205762
665,-10380992.826324,5620303.700944,12/30/2015 12:00:00 AM,256 6th st ne,Day 2,-10380992.8263232,5620303.70094431
666,-10383833.417227,5615040.80811,12/30/2015 12:00:00 AM,2415 blaisdell ave s,Day 1,-10383833.4172262,5615040.80810969
667,-10379973.248204,5618825.079029,12/30/2015 12:00:00 AM,799 university ave se,Day 1,-10379973.248203,5618825.07902948
668,-10380186.711559,5619151.630495,12/30/2015 12:00:00 AM,402 6 th ave se,Day 2,-10380186.7115583,5619151.63049535
669,-10382007.812095,5620794.669098,12/30/2015 12:00:00 AM,717 2nd St NE,Day 1,-10382007.8120936,5620794.6690981
670,0,0,12/30/2015 12:00:00 AM,15th/ lasalle,Day 1
671,-10378931.387227,5619604.926803,12/30/2015 12:00:00 AM,1100 como ave SE,Day 1,-10378931.3872263,5619604.92680284
672,-10382791.336437,5619585.563183,12/30/2015 12:00:00 AM,55 4th ave n,Day 1,-10382791.3364361,5619585.56318277
673,-10381444.900519,5620825.736744,12/30/2015 12:00:00 AM,616 5th st ne,Day 2,-10381444.9005179,5620825.73674428
674,-10385645.253683,5626631.552252,12/30/2015 12:00:00 AM,4251 Fremont Ave n,Day 1,-10385645.253682,5626631.55225201
675,0,0,12/30/2015 12:00:00 AM,13 ave se,Day 1
676,-10381662.104039,5611626.209125,12/30/2015 12:00:00 AM,3634 10th Ave s,Day 2,-10381662.1040383,5611626.20912512
677,0,0,12/30/2015 12:00:00 AM,1521 lascell,Day 1
678,0,0,12/30/2015 12:00:00 AM,1230 8th st s e,Day 1
