FID,Citation,Date,Address,X_Coord,Y_Coord,Ordinance,Ordinanc_1,Ward,Neighborho,Community,Day_ID,x,y
33,271115543000,12/29/2015 12:00:00 AM,2732 BLOOMINGTON AVE S,-10380823,5614147,478.1000(A),SNOW EMERGENCY PARK,9,Midtown Phillips,Phillips,Day 1,-10380823,5614147
34,271115551000,12/29/2015 12:00:00 AM,2731 STEVENS AVE S,-10383357,5614152,478.1000(A),SNOW EMERGENCY PARK,10,Whittier,Powderhorn,Day 1,-10383357,5614152
35,271115543000,12/29/2015 12:00:00 AM,2731 BLOOMINGTON AVE S,-10380811,5614153,478.1000(A),SNOW EMERGENCY PARK,9,East Phillips,Phillips,Day 1,-10380811,5614153
36,271115551000,12/29/2015 12:00:00 AM,2729 STEVENS AVE S,-10383357,5614157,478.1000(A),SNOW EMERGENCY PARK,10,Whittier,Powderhorn,Day 1,-10383357,5614157
37,271115551000,12/29/2015 12:00:00 AM,2727 STEVENS AVE S,-10383357,5614162,478.1000(A),SNOW EMERGENCY PARK,10,Whittier,Powderhorn,Day 1,-10383357,5614162
38,271115551000,12/29/2015 12:00:00 AM,2725 STEVENS AVE S,-10383357,5614168,478.1000(A),SNOW EMERGENCY PARK,10,Whittier,Powderhorn,Day 1,-10383357,5614168
39,271115492000,12/29/2015 12:00:00 AM,2724 CHICAGO AVE S,-10381954,5614169,478.1000(A),SNOW EMERGENCY PARK,6,Phillips West,Phillips,Day 1,-10381954,5614169
40,271115543000,12/29/2015 12:00:00 AM,2722 BLOOMINGTON AVE S,-10380823,5614174,478.1000(A),SNOW EMERGENCY PARK,9,Midtown Phillips,Phillips,Day 1,-10380823,5614174
41,271115543000,12/29/2015 12:00:00 AM,2723 BLOOMINGTON AVE S,-10380811,5614174,478.1000(A),SNOW EMERGENCY PARK,9,East Phillips,Phillips,Day 1,-10380811,5614174
42,271115492000,12/29/2015 12:00:00 AM,2720 CHICAGO AVE S,-10381954,5614179,478.1000(A),SNOW EMERGENCY PARK,6,Phillips West,Phillips,Day 1,-10381954,5614179
43,271115543000,12/29/2015 12:00:00 AM,2720 BLOOMINGTON AVE S,-10380823,5614180,478.1000(A),SNOW EMERGENCY PARK,9,Midtown Phillips,Phillips,Day 1,-10380823,5614180
44,271115543000,12/29/2015 12:00:00 AM,2721 BLOOMINGTON AVE S,-10380811,5614180,478.1000(A),SNOW EMERGENCY PARK,9,East Phillips,Phillips,Day 1,-10380811,5614180
45,271115543000,12/29/2015 12:00:00 AM,2717 BLOOMINGTON AVE S,-10380811,5614190,478.1000(A),SNOW EMERGENCY PARK,9,East Phillips,Phillips,Day 1,-10380811,5614190
46,271115543000,12/29/2015 12:00:00 AM,2714 BLOOMINGTON AVE S,-10380823,5614196,478.1000(A),SNOW EMERGENCY PARK,9,Midtown Phillips,Phillips,Day 1,-10380823,5614196
47,271115551000,12/29/2015 12:00:00 AM,2711 STEVENS AVE S,-10383357,5614205,478.1000(A),SNOW EMERGENCY PARK,10,Whittier,Powderhorn,Day 1,-10383357,5614205
48,271115492000,12/29/2015 12:00:00 AM,2710 CHICAGO AVE S,-10381954,5614206,478.1000(A),SNOW EMERGENCY PARK,6,Phillips West,Phillips,Day 1,-10381954,5614206
49,271115551000,12/29/2015 12:00:00 AM,2707 STEVENS AVE S,-10383357,5614216,478.1000(A),SNOW EMERGENCY PARK,10,Whittier,Powderhorn,Day 1,-10383357,5614216
50,271115492000,12/29/2015 12:00:00 AM,2704 CHICAGO AVE S,-10381954,5614223,478.1000(A),SNOW EMERGENCY PARK,6,Phillips West,Phillips,Day 1,-10381954,5614223
51,271115492000,12/29/2015 12:00:00 AM,2647 NICOLLET AVE,-10383640,5614391,478.1000(A),SNOW EMERGENCY PARK,10,Whittier,Powderhorn,Day 1,-10383640,5614391
52,271115492000,12/29/2015 12:00:00 AM,2644 CHICAGO AVE S,-10381952,5614396,478.1000(A),SNOW EMERGENCY PARK,6,Phillips West,Phillips,Day 1,-10381952,5614396
53,271115543000,12/29/2015 12:00:00 AM,2644 BLOOMINGTON AVE S,-10380821,5614397,478.1000(A),SNOW EMERGENCY PARK,9,Midtown Phillips,Phillips,Day 1,-10380821,5614397
54,271115551000,12/29/2015 12:00:00 AM,2643 STEVENS AVE S,-10383356,5614401,478.1000(A),SNOW EMERGENCY PARK,10,Whittier,Powderhorn,Day 1,-10383356,5614401
55,271115497000,12/29/2015 12:00:00 AM,2645 36TH AVE S,-10377240,5614405,478.1000(A),SNOW EMERGENCY PARK,2,Seward,Longfellow,Day 1,-10377240,5614405
56,271115551000,12/29/2015 12:00:00 AM,2641 STEVENS AVE S,-10383356,5614406,478.1000(A),SNOW EMERGENCY PARK,10,Whittier,Powderhorn,Day 1,-10383356,5614406
57,271115551000,12/29/2015 12:00:00 AM,2637 STEVENS AVE S,-10383356,5614417,478.1000(A),SNOW EMERGENCY PARK,10,Whittier,Powderhorn,Day 1,-10383356,5614417
58,271115497000,12/29/2015 12:00:00 AM,2637 36TH AVE S,-10377240,5614427,478.1000(A),SNOW EMERGENCY PARK,2,Seward,Longfellow,Day 1,-10377240,5614427
59,271115559000,12/29/2015 12:00:00 AM,2635 27TH AVE S,-10378655,5614432,478.1000(A),SNOW EMERGENCY PARK,2,Seward,Longfellow,Day 1,-10378655,5614432
60,271115559000,12/29/2015 12:00:00 AM,2635 27TH AVE S,-10378655,5614432,478.1000(A),SNOW EMERGENCY PARK,2,Seward,Longfellow,Day 1,-10378655,5614432
61,271115492000,12/29/2015 12:00:00 AM,2630 CHICAGO AVE S,-10381952,5614434,478.1000(A),SNOW EMERGENCY PARK,6,Phillips West,Phillips,Day 1,-10381952,5614434
62,271115497000,12/29/2015 12:00:00 AM,2625 27TH AVE S,-10378654,5614458,478.1000(A),SNOW EMERGENCY PARK,2,Seward,Longfellow,Day 1,-10378654,5614458
63,271115527000,12/29/2015 12:00:00 AM,725 26TH ST W,-10384814,5614519,478.1000(A),SNOW EMERGENCY PARK,10,Lowry Hill East,Calhoun Isle,Day 1,-10384814,5614519
64,271115551000,12/29/2015 12:00:00 AM,2621 STEVENS AVE S,-10383356,5614460,478.1000(A),SNOW EMERGENCY PARK,10,Whittier,Powderhorn,Day 1,-10383356,5614460
65,271115497000,12/29/2015 12:00:00 AM,2623 27TH AVE S,-10378654,5614463,478.1000(A),SNOW EMERGENCY PARK,2,Seward,Longfellow,Day 1,-10378654,5614463
66,271115527000,12/29/2015 12:00:00 AM,721 26TH ST W,-10384809,5614519,478.1000(A),SNOW EMERGENCY PARK,10,Lowry Hill East,Calhoun Isle,Day 1,-10384809,5614519
67,271115492000,12/29/2015 12:00:00 AM,2609 NICOLLET AVE,-10383639,5614494,478.1000(A),SNOW EMERGENCY PARK,10,Whittier,Powderhorn,Day 1,-10383639,5614494
68,271115527000,12/29/2015 12:00:00 AM,713 26TH ST W,-10384798,5614519,478.1000(A),SNOW EMERGENCY PARK,10,Lowry Hill East,Calhoun Isle,Day 1,-10384798,5614519
69,271115492000,12/29/2015 12:00:00 AM,2606 CHICAGO AVE S,-10381951,5614499,478.1000(A),SNOW EMERGENCY PARK,6,Phillips West,Phillips,Day 1,-10381951,5614499
70,271115527000,12/29/2015 12:00:00 AM,711 26TH ST W,-10384795,5614519,478.1000(A),SNOW EMERGENCY PARK,10,Lowry Hill East,Calhoun Isle,Day 1,-10384795,5614519
71,271115551000,12/29/2015 12:00:00 AM,2605 STEVENS AVE S,-10383356,5614503,478.1000(A),SNOW EMERGENCY PARK,10,Whittier,Powderhorn,Day 1,-10383356,5614503
72,271115556000,12/29/2015 12:00:00 AM,1817 2ND ST S,-10383883,5621150,478.1000(A),SNOW EMERGENCY PARK,5,Near - North,Near North,Day 1,-10383883,5621150
73,271115527000,12/29/2015 12:00:00 AM,709 26TH ST W,-10384792,5614519,478.1000(A),SNOW EMERGENCY PARK,10,Lowry Hill East,Calhoun Isle,Day 1,-10384792,5614519
74,271115492000,12/29/2015 12:00:00 AM,2604 CHICAGO AVE S,-10381951,5614504,478.1000(A),SNOW EMERGENCY PARK,6,Phillips West,Phillips,Day 1,-10381951,5614504
75,271115400000,12/29/2015 12:00:00 AM,1016 LOWRY AVE NE,-10380012,5623588,478.1000(A),SNOW EMERGENCY PARK,1,Windom Park,Northeast,Day 1,-10380012,5623588
76,271115527000,12/29/2015 12:00:00 AM,707 26TH ST W,-10384790,5614519,478.1000(A),SNOW EMERGENCY PARK,10,Lowry Hill East,Calhoun Isle,Day 1,-10384790,5614519
77,271115400000,12/29/2015 12:00:00 AM,1026 LOWRY AVE NE,-10379993,5623588,478.1000(A),SNOW EMERGENCY PARK,1,Windom Park,Northeast,Day 1,-10379993,5623588
78,271115527000,12/29/2015 12:00:00 AM,1505 26TH ST E,-10380921,5614519,478.1000(A),SNOW EMERGENCY PARK,9,Midtown Phillips,Phillips,Day 1,-10380921,5614519
79,271115400000,12/29/2015 12:00:00 AM,2206 LOWRY AVE NE,-10378241,5623595,478.1000(A),SNOW EMERGENCY PARK,1,Windom Park,Northeast,Day 1,-10378241,5623595
80,271115551000,12/29/2015 12:00:00 AM,2603 STEVENS AVE S,-10383356,5614509,478.1000(A),SNOW EMERGENCY PARK,10,Whittier,Powderhorn,Day 1,-10383356,5614509
81,271115527000,12/29/2015 12:00:00 AM,1507 26TH ST E,-10380906,5614519,478.1000(A),SNOW EMERGENCY PARK,9,Midtown Phillips,Phillips,Day 1,-10380906,5614519
82,271115400000,12/29/2015 12:00:00 AM,1015 LOWRY AVE NE,-10380016,5623600,478.1000(A),SNOW EMERGENCY PARK,1,Audubon Park,Northeast,Day 1,-10380016,5623600
83,271115527000,12/29/2015 12:00:00 AM,1517 26TH ST E,-10380832,5614519,478.1000(A),SNOW EMERGENCY PARK,9,Midtown Phillips,Phillips,Day 1,-10380832,5614519
84,271115551000,12/30/2015 12:00:00 AM,6130 WENTWORTH AVE S,-10383963,5604435,478.1000(B),SNOW EMERGENCY EVEN,11,Windom,Southwest,Day 2,-10383963,5604435
85,271115527000,12/29/2015 12:00:00 AM,1807 26TH ST E,-10380349,5614519,478.1000(A),SNOW EMERGENCY PARK,9,East Phillips,Phillips,Day 1,-10380349,5614519
86,271115551000,12/30/2015 12:00:00 AM,6126 WENTWORTH AVE S,-10383963,5604442,478.1000(B),SNOW EMERGENCY EVEN,11,Windom,Southwest,Day 2,-10383963,5604442
87,271115527000,12/29/2015 12:00:00 AM,1305 26TH ST W,-10385637,5614520,478.1000(A),SNOW EMERGENCY PARK,10,Lowry Hill East,Calhoun Isle,Day 1,-10385637,5614520
88,271115527000,12/29/2015 12:00:00 AM,100 26TH ST E,-10383498,5614529,478.1000(A),SNOW EMERGENCY PARK,10,Whittier,Powderhorn,Day 1,-10383498,5614529
89,271115551000,12/30/2015 12:00:00 AM,6106 WENTWORTH AVE S,-10383963,5604542,478.1000(B),SNOW EMERGENCY EVEN,11,Windom,Southwest,Day 2,-10383963,5604542
90,271115527000,12/29/2015 12:00:00 AM,109 26TH ST E,-10383450,5614517,478.1000(A),SNOW EMERGENCY PARK,10,Whittier,Powderhorn,Day 1,-10383450,5614517
91,271115527000,12/29/2015 12:00:00 AM,108 26TH ST E,-10383450,5614529,478.1000(A),SNOW EMERGENCY PARK,10,Whittier,Powderhorn,Day 1,-10383450,5614529
