City,Attribute,Value
Squaw Lake,2020,98
Sturgeon Lake,1980,222
Sturgeon Lake,1990,230
Sturgeon Lake,2000,347
Sturgeon Lake,2010,439
Sturgeon Lake,2020,436
Sunfish Lake,1980,344
Sunfish Lake,1990,413
Sunfish Lake,2000,504
Sunfish Lake,2010,521
Sunfish Lake,2020,522
Twin Lakes,1980,210
Twin Lakes,1990,154
Twin Lakes,2000,168
Twin Lakes,2010,151
Twin Lakes,2020,134
White Bear Lake,1970,23313
White Bear Lake,1980,22538
White Bear Lake,1990,24704
White Bear Lake,2000,24325
White Bear Lake,2010,23797
White Bear Lake,2020,24883
Wolf Lake,1980,67
Wolf Lake,1990,35
Wolf Lake,2000,31
Wolf Lake,2010,57
Wolf Lake,2020,71
Wood Lake,1980,420
Wood Lake,1990,406
Wood Lake,2000,436
Wood Lake,2010,439
Wood Lake,2020,381
