Club,Last Name,First Name,Position,Salary,Compensation,Year
Montreal Impact,Camacho,Rudy,D,750000,799153,2020
Atlanta United,Campbell,George,D,70000,70000,2020
DC United,Canouse,Russell,M,300000,300000,2020
Atlanta United,Carleton,Andrew,F,100000,112400,2020
Inter Miami,Carranza,Julian,F,400000,400000,2020
Chicago Fire,Casas,Javier,M,63547,65447,2020
Portland Timbers,Cascante,Julio,D,200004,200004,2020
New York Red Bulls,Casseres,Cristian,M,195000,239000,2020
New York City FC,Castellanos,Valentin,M,275000,299806,2020
Atlanta United,Castillo,Edgar,D,110000,118375,2020
Atlanta United,Castro,Manuel,M,204000,209667,2020
Vancouver Whitecaps,Cavallini,Lucas,F,1000000,1262500,2020
Seattle Sounders FC,Cecchini,Emanuel,M,333000,474000,2020
Houston Dynamo,Ceren,Darwin,M,170000,220000,2020
FC Dallas,Cerrillo,Edwin,M,85000,100000,2020
Minnesota United,Chacon,Thomas,M-F,381000,393000,2020
Real Salt Lake,Chang,Maikel,M,81375,81375,2020
New York City FC,Chanot,Maxime,D,725000,725000,2020
Inter Miami,Chapman,Jay,M,144000,156833,2020
Portland Timbers,Chara,Diego,M,650000,668750,2020
Portland Timbers,Chara,Yimmi,M,1200000,1392000,2020
FC Dallas,Che,Justin,D,63547,72756,2020
Montreal Impact,Choiniere,Mathieu,M,95000,104238,2020
LAFC,Cifuentes,Jose,M,367875,411750,2020
Toronto FC,Ciman,Laurent,D,425000,460625,2020
New York Red Bulls,Clark,Caden,M,63547,100747,2020
Portland Timbers,Clark,Steve,GK,250000,250000,2020
Seattle Sounders FC,Cleveland,Stefan,GK,81375,81375,2020
Nashville SC,Cochran,CJ,GK,81375,81375,2020
Chicago Fire,Collier,Elliot,F,81375,81375,2020
Philadelphia Union,Collin,Aurelien,D,200000,200000,2020
Orlando City SC,Colman,Josue,M,700000,700000,2020
Vancouver Whitecaps,Colyn,Simon,M,81375,81375,2020
Portland Timbers,Conechny,Tomas,M,400000,400000,2020
Atlanta United,Conway,Jackson,F,63547,63547,2020
Vancouver Whitecaps,Cornelius,Derek,D,115500,127413,2020
LA Galaxy,Corona,Joe,M,600000,628500,2020
Montreal Impact,Corrales,Jorge,D,81375,81375,2020
San Jose Earthquakes,Cowell,Cade,F,63547,73547,2020
Philadelphia Union,Creavalle,Warren,M,170000,183300,2020
Vancouver Whitecaps,Crepeau,Maxime,GK,225000,252500,2020
Houston Dynamo,Cropper,Cody,GK,81375,87542,2020
FC Cincinnati,Cruz,Allan,M,900000,1014000,2020
LA Galaxy,Cuello,Emil,M,81375,81375,2020
Orlando City SC,Cunha,Antonio Carlos,D,799200,799200,2020
Vancouver Whitecaps,Dajome,Cristian,F,350000,396667,2020
FC Cincinnati,Dally,Rashawn,F,63547,66956,2020
Atlanta United,Damm,Jurgen,M,1193251,1485761,2020
Nashville SC,Danladi,Abu,F,160000,217000,2020
New York Red Bulls,Davis,Sean,M,350000,377500,2020
Orlando City SC,De Almeida,Ocimar,M,650000,680000,2020
Orlando City SC,De John,Alex,D,100000,105500,2020
FC Cincinnati,De Jong,Siem,M,1157556,1287556,2020
Philadelphia Union,De Vries,Jack,M,100000,115556,2020
Inter Miami,DeLaGarza,AJ,D-M,287500,287500,2020
Seattle Sounders FC,Delem,Jordy,M-D,160000,179000,2020
Toronto FC,DeLeon,Nick,D-M,225000,240742,2020
Toronto FC,Delgado,"Marco ""Marky""",M,303600,384850,2020
FC Cincinnati,Deplagne,Mathieu,D,240000,254400,2020
LA Galaxy,DePuy,Nick,D,81375,81375,2020
Orlando City SC,Dezart,Joseph,M,63547,63547,2020
Seattle Sounders FC,Dhillon,Justin,F,81375,81375,2020
Sporting Kansas City,Dia,Amadou,D,81375,81375,2020
Columbus Crew,Diaz,Luis,M,324996,358896,2020
Minnesota United,Dibassy,Bakaye,D,480000,573125,2020
Sporting Kansas City,Dick,Eric,GK,81375,85020,2020
Nashville SC,Dieterich,Tanner,M,63547,63547,2020
Orlando City SC,Dike,Daryl,F,85000,113750,2020
Montreal Impact,Diop,Clement,GK,120000,148500,2020
Seattle Sounders FC,Dobbelaere,Ethan,M,63547,77547,2020
