Club,Last Name,First Name,Position,Salary,Compensation,Year
FC Dallas,Acosta,Kellyn,M,55000,79000,2014
FC Dallas,Akindele,Tesho,F,48500,48500,2014
Vancouver Whitecaps,Adekugbe,Samuel,D,50000,55000,2014
Vancouver Whitecaps,Alderson,Bryce,M,100000,115000,2014
Chicago Fire,Alex,,M,123750,133700,2014
Chicago Fire,Amarikwa,Quincy,F,60000,60000,2014
Chicago Fire,Anangono,Juan Luis,F,175000,175000,2014
Portland Timbers,Adi,Fanendo,F,580800,593300,2014
Portland Timbers,Alhassan,Kalif,M,120000,120000,2014
Columbus Crew,Anor,Bernardo,M,48825,48825,2014
Columbus Crew,Arrieta,Jairo,F,135000,135000,2014
Colorado Rapids,Agbossoumonde,Gale,D,48825,55491.67,2014
Colorado Rapids,Alvarez,Carlos,M,73150,108150,2014
Colorado Rapids,Armstrong,David,M,36504,36504,2014
New England Revolution,Akpan,Andre,F,48500,51333.33,2014
New England Revolution,Alston,Kevin,D,125000,143333.33,2014
DC United,Arnaud,Davy,M,212500,212500,2014
DC United,Attakora,Nana,D,62500,65575.52,2014
Houston Dynamo,Arena,Anthony,D,36504,36504,2014
Houston Dynamo,Ashe,Corey,M,165000,174750,2014
New York Red Bulls,Alexander,Eric,M,115000,128750,2014
Real Salt Lake,Allen,Jordan,M/F,80000,90000,2014
Seattle Sounders FC,Alonso,Osvaldo,M,400000,400000,2014
Seattle Sounders FC,Anibaba,Jalil,D,119620,159620,2014
Seattle Sounders FC,Apam,Onyekachi,D,60000,60000,2014
Orlando City SC,Alvarez,Yordany,M,48500,56000,2014
Toronto FC,Aparicio,Manuel,M,36504,36504,2014
Real Salt Lake,Attinella,Jeff,GK,48825,48825,2014
Chivas USA,Avila,Eric,M,115000,135000,2014
Seattle Sounders FC,Azira,Michael,D,48504,51147.54,2014
Columbus Crew,Baiden,Kingsley,M,36504,36504,2014
Real Salt Lake,Balchan,Rich,D,48500,48500,2014
Vancouver Whitecaps,Ballouchy,Mehdi,M,65000,65000,2014
San Jose Earthquakes,Barklage,Brandon,M,65000,68415.21,2014
New England Revolution,Barnes,Darrius,D,80000,86666.67,2014
Houston Dynamo,Barnes,Giles,M,230000,241158.33,2014
Chivas USA,Barrera,Leandro,F,50000,50000,2014
Seattle Sounders FC,Barrett,Chad,F,80000,85000,2014
Columbus Crew,Barson,Chad,D,48825,48825,2014
Houston Dynamo,Beasley,DaMarcus,D,750000,779166.67,2014
Real Salt Lake,Beckerman,Kyle,M,350000,378750,2014
Columbus Crew,Bedell,Adam,F,36504,36504,2014
Vancouver Whitecaps,Beitashour,Steven,D,170000,177166.67,2014
Toronto FC,Bekker,Kyle,M,51150,77400,2014
Montreal Impact,Beland-Goyette,Louis,M,36504,36504,2014
Real Salt Lake,Beltran,Anthony,D,186450,186450,2014
Toronto FC,Bendik,Joe,GK,140000,147375,2014
New England Revolution,Bengtson,Jerry,F,144000,144000,2014
FC Dallas,Benitez,Jair,D,97875,97875,2014
San Jose Earthquakes,Bernardez,Victor,D,100008,141608,2014
Colorado Rapids,Berner,John,GK,36500,36500,2014
Montreal Impact,Bernier,Patrice,F-M,165000,205000,2014
Philadelphia Union,Berry,Austin,D,86994,101994,2014
Sporting Kansas City,Besler,Matt,D,600000,633250,2014
Sporting Kansas City,Bieler,Claudio,F,225000,225000,2014
San Jose Earthquakes,Bingham,David,GK,85910,130285,2014
DC United,Birnbaum,Steven,D,55000,85000,2014
Montreal Impact,Bissue,James,F,48500,48500,2014
New York Red Bulls,Bitolo,Ambroise,D,36500,36500,2014
Philadelphia Union,Blake,Andre,GK,75000,113000,2014
Toronto FC,Bloom,Mark,D,48825,48825,2014
Chivas USA,Bocanegra,Carlos,D,300000,333333.33,2014
Chivas USA,Bolanos,Luis,F,48504,48504,2014
Philadelphia Union,Bone,Corben,M,48825,51325,2014
Houston Dynamo,Boniek Garcia,Oscar,F,199992,258742,2014
Real Salt Lake,Borchers,Nat,D,225000,236968.75,2014
,Borja,Carlos,D,52313,52313,2014
Chivas USA,Borja,Felix,F,48504,48504,2014
DC United,Boswell,Bobby,D,189666.6,189666.6,2014
New York Red Bulls,Bover,Ruben,M,36500,36500,2014
Seattle Sounders FC,Bowen,Tristan,F,65000,70000,2014
Toronto FC,Bradley,Michael,M,6000000,6500000,2014
New York City FC,Brovsky,Jeb,M,115000,119000,2014
Philadelphia Union,Brown,Brian,F,48504,53004,2014
Colorado Rapids,Brown,Deshorn,F,75000,123000,2014
Houston Dynamo,Bruin,Will,F,127500,172500,2014
Houston Dynamo,Brunner,Eric,D,130000,130625,2014
Colorado Rapids,Buddle,Edson,F,325000,325000,2014
New England Revolution,Bunbury,Teal,F,135000,233000,2014
Colorado Rapids,Burch,Marc,D,85000,85000,2014
Chivas USA,Burling,Bobby,D,115000,122500,2014
San Jose Earthquakes,Busch,Jon,GK,173250,184583.33,2014
Montreal Impact,Bush,Evan,GK,48825,48825,2014
New York Red Bulls,Bustamante,Michael,M-D,48825,48825,2014
FC Dallas,Cabrera,Walter,D,84000,96000,2014
New York Red Bulls,Cahill,Tim,M,3500000,3625000,2014
New England Revolution,Caldwell,Scott,M,52313,59813,2014
Toronto FC,Caldwell,Steven,D,325000,364166.67,2014
Chivas USA,Calvert,Caleb,F,55000,62500,2014
Montreal Impact,Camara,Hassoun,D/M,215000,226625,2014
Vancouver Whitecaps,Carducci,Marco,GK,36504,36504,2014
Houston Dynamo,Carrasco,Servando,M,48825,48825,2014
Philadelphia Union,Carreiro,Fred,M,65460,65460,2014
Philadelphia Union,Carroll,Brian,M,185220,185220,2014
Houston Dynamo,Cascio,Tony,M,71390,105140,2014
Philadelphia Union,Casey,Conor,F,192500,192500,2014
DC United,Caskey,Alex,M,48825,48825,2014
New York Red Bulls,Castano,Santiago,GK,36500,36500,2014
New England Revolution,Castillion,Geoffrey,F,276000,329033.33,2014
FC Dallas,Castillo,Fabian,F,70000,76250,2014
San Jose Earthquakes,Cato,Cordell,F,50400,50400,2014
Orlando City SC,Ceren,Darwin,M,50000,80437.5,2014
Portland Timbers,Chara,Diego,M,170000,170000,2014
Chivas USA,Chavez,Marvin,M,200000,200000,2014
New York Red Bulls,Christianson,Ian,M,48825,48825,2014
Houston Dynamo,Clark,Ricardo,M,288000,321750,2014
Columbus Crew,Clark,Steven,GK,135000,138333.33,2014
Vancouver Whitecaps,Clarke,Caleb,F,60000,60000,2014
Sporting Kansas City,Claros,Jorge,M,90000,90000,2014
Houston Dynamo,Cochran,AJ,D,57500,73500,2014
Chicago Fire,Cochrane,Greg,D,48500,48500,2014
Chicago Fire,Cocis,Razvan,M,140004,146670.67,2014
Sporting Kansas City,Collin,Aurelien,D,275000,281250,2014
New York Red Bulls,Convey,Bobby,M,137500,147500,2014
Seattle Sounders FC,Cooper,Kenny,F,200000,265625,2014
Chivas USA,Correa,Jose Erick,F,70000,70000,2014
FC Dallas,Craft,Coy,F,48504,65587.33,2014
Toronto FC,Creavalle,Warren,D,90000,100500,2014
Montreal Impact,Crepeau,Maxime,GK,48500,48500,2014
San Jose Earthquakes,Cronin,Sam,M,185000,187500,2014
Philadelphia Union,Cruz,Danny,M,125000,131666.67,2014
Houston Dynamo,Cummings,Omar,F,250000,264000,2014
Montreal Impact,Danso,Mamadou,D,87500,87500,2014
New England Revolution,Davies,Charlie,F,75000,78940.63,2014
Houston Dynamo,Davis,Brad,M,345000,392062.5,2014
Vancouver Whitecaps,Dean,Christian,D,80000,161000,2014
Toronto FC,Defoe,Jermain,F,6000000,6180000,2014
LA Galaxy,DeLaGarza,AJ,D,132500,155000,2014
DC United,DeLeon,Nick,M,85690,120690,2014
Chivas USA,Delgado,Marco,M,75000,77500,2014
Seattle Sounders FC,Dempsey,Clint,F,4913004,6695188.75,2014
Houston Dynamo,Deric,Tyler,GK,90000,97666.67,2014
Toronto FC,DeRosario,Dwayne,M,137000,173000,2014
Montreal Impact,Di Vaio,Marco,F,1500000,2600000,2014
FC Dallas,Diaz,Mauro,M,325000,411000,2014
Toronto FC,Dike,Bright,F,60637.5,63575,2014
Vancouver Whitecaps,Diouf,Mamadou,F,48500,61000,2014
San Jose Earthquakes,Djalo,Yannick,M,200000,300000,2014
LA Galaxy,Donovan,Landon,F,4250000,4583333.33,2014
New England Revolution,Dorman,Andy,M,135000,135000,2014
Sporting Kansas City,Dovale,Toni,D,180000,185000,2014
DC United,Doyle,Conor,F,48500,49750,2014
Houston Dynamo,Driver,Andrew,M,130000,144583.33,2014
Montreal Impact,Duka,Dilaver,M,165000,190000,2014
Sporting Kansas City,Duke,Christian,D,36500,36500,2014
LA Galaxy,Dunivant,Todd,D,140000,160750,2014
Chivas USA,Dunn,Matthew,M,48500.04,48500.04,2014
New York Red Bulls,Duvall,Chris,D,36504,36504,2014
Sporting Kansas City,Dwyer,Dom,F,80000,92500,2014
DC United,Dykstra,Andrew,GK,48825,48825,2014
Chicago Fire,Earnshaw,Robert,F,204000,206250,2014
New York Red Bulls,Eckersley,Richard,D,255000,373333.33,2014
Philadelphia Union,Edu,Maurice,M,650000,650000,2014
Sporting Kansas City,Ellis,Kevin,D,48825,49575,2014
Colorado Rapids,Eloundou,Charles,F,48825,53825,2014
FC Dallas,Escobar,Andres,F,625000,647000,2014
DC United,Espindola,Fabian,F,150000,150000,2014
DC United,Estrada,David,F,48825,48825,2014
Seattle Sounders FC,Evans,Brad,F,267665,293666.25,2014
Portland Timbers,Evans,Steven,M,48825,53825,2014
Philadelphia Union,Fabinho,,D,96000,100500,2014
New England Revolution,Fagundez,Diego,F,110000,137200,2014
New England Revolution,Farrell,Andrew,D,95000,176000,2014
Sporting Kansas City,Feilhaber,Benny,M,325000,337187.5,2014
Philadelphia Union,Fernandes,Leo,M,48500,48500,2014
Real Salt Lake,Fernandez,Eduardo,GK,36500,36500,2014
Portland Timbers,Fernandez,Gaston,F,150000,150000,2014
FC Dallas,Fernandez,Raul,GK,160000,247500,2014
Vancouver Whitecaps,Fernandez,Sebastian,M,143000,143000,2014
Montreal Impact,Ferrari,Matteo,D,300000,355475,2014
Real Salt Lake,Findley,Robbie,F,215000,245500,2014
Columbus Crew,Finlay,Ethan,F,50847.5,65847.5,2014
Chivas USA,Finley,Ryan,F,51150,78650,2014
Portland Timbers,Fochive,George,M,36500,36500,2014
Chicago Fire,Fondy,Matthew,F,48500,48500,2014
Seattle Sounders FC,Ford,Josh,GK,48500,50239.94,2014
San Jose Earthquakes,Francis,Shaun,D,55000,57889.79,2014
Columbus Crew,Francis,Waylon,D,125000,153875,2014
Chicago Fire,Franco,Marco,D,36500,36500,2014
DC United,Franklin,Sean,D,178333.32,209999.99,2014
Seattle Sounders FC,Frei,Stefan,GK,150000,150000,2014
Columbus Crew,Friedman,Ross,D,36500,36500,2014
LA Galaxy,Friend,Rob,F,85000,91000,2014
Vancouver Whitecaps,Froese,Kianz,M-F,44004,48504,2014
San Jose Earthquakes,Fucito,Michael,MF,57750,60639.79,2014
Philadelphia Union,Gaddis,Raymon,D,52313,52313,2014
Montreal Impact,Gagnon-Lapare,Jeremy,M,36504,40504,2014
Columbus Crew,Gall,Romain,M,48504,51885.93,2014
Portland Timbers,Gallego,Bryan,D,36500,36750,2014
FC Dallas,Garcia,Danny,M,55000,71000,2014
Real Salt Lake,Garcia,Olmes,F,125000,125000,2014
LA Galaxy,Garcia,Rafael,M,48825,48825,2014
,Gardner,Joshua,M,70000,70000,2014
LA Galaxy,Gargan,Dan,D,48500,48500,2014
Houston Dynamo,Garrido,Luis,M,150000,150000,2014
Columbus Crew,Gehrig,Eric,M,48825,48825,2014
Columbus Crew,George,Kevan,M,48825,48825,2014
Real Salt Lake,Gil,Luis,M,220000,315083.33,2014
Real Salt Lake,Glad,Justen,D,36500,47500,2014
Portland Timbers,Gleeson,Jake,GK,66000,69493.44,2014
Toronto FC,Goncalves,Jackson,D,150000,202500,2014
New England Revolution,Goncalves,Jose,D,450000,479375,2014
FC Dallas,Gonzalez,Jesse,GK,48500,48500,2014
Seattle Sounders FC,Gonzalez,Leonardo,D,150000,150000,2014
LA Galaxy,Gonzalez,Omar,D,1000000,1250000,2014
Montreal Impact,Gonzalez,Santiago,M/F,50000,50000,2014
San Jose Earthquakes,Goodson,Clarence,D,315000,342000,2014
LA Galaxy,Gordon,Alan,F,185000,206666.67,2014
San Jose Earthquakes,Gorlitz,Andreas,D,90000,99737.19,2014
Real Salt Lake,Grabavoy,Ned,M,160000,175000,2014
Real Salt Lake,Grossman,Cole,M,48825,48825,2014
Sporting Kansas City,Gruenebaum,Andy,GK,85000,85000,2014
Toronto FC,Hagglund,Nick,D,48500,48500,2014
Seattle Sounders FC,Hahnemann,Marcus,GK,65000,65000,2014
Colorado Rapids,Hairston,Marlon,M,70000,93000,2014
Toronto FC,Hall,Jeremy,D,105000,115000,2014
Houston Dynamo,Hall,Tally,GK,200000,213500,2014
DC United,Hamid,Bill,GK,100000,114750,2014
Toronto FC,Hamilton,Jordan,F,60000,72500,2014
San Jose Earthquakes,Harden,Ty,D,68250,71665.21,2014
Portland Timbers,Harrington,Michael,M-D,125000,125000,2014
San Jose Earthquakes,Harris,Atiba,M-F,181500,189775,2014
Vancouver Whitecaps,Harvey,Jordan,D,123750,123750,2014
FC Dallas,Hedges,Matt,D,120000,120000,2014
Toronto FC,Henry,Doneil,D,75000,87083.33,2014
New York Red Bulls,Henry,Thierry,F,3750000,4350000,2014
Philadelphia Union,Hernandez,Cristhian,M,72500,74375,2014
San Jose Earthquakes,Hernandez,Jason,D,210000,213333.33,2014
FC Dallas,Hernandez,Moises,D,48825,50450,2014
Columbus Crew,Higuain,Federico,M-F,580000,744000,2014
Colorado Rapids,Hill,Kamani,M,48825,48825,2014
LA Galaxy,Hoffman,Chandler,F,48500,48500,2014
FC Dallas,Hollingshead,Ryan,M,48500,48500,2014
Philadelphia Union,Hoppenot,Antoine,F,54450,54450,2014
Houston Dynamo,Horst,David,D,70000,72750,2014
Vancouver Whitecaps,Hurtado,Erik,F/M,51150,86150,2014
Chivas USA,Hurtado,Jhon Kennedy,D,210000,210000,2014
LA Galaxy,Husidic,Baggio,M,90000,90000,2014
Chicago Fire,Ianni,Patrick,D,150000,150000,2014
New England Revolution,Imbongo,Dimitry,F,112500,122375,2014
DC United,Inkoom,Samuel,D,84000,103875,2014
Colorado Rapids,Irwin,Clint,GK,75000,87000,2014
LA Galaxy,Ishizaki,Stefan,M,200000,213000,2014
New England Revolution,Jackson,Larry,GK,36504,36504,2014
Montreal Impact,Jackson-Hamel,Anthony,F,36504,36504,2014
New York City FC,Jacobson,Andrew,M,180000,180000,2014
San Jose Earthquakes,Jahn,Adam,F,48500,48500,2014
Real Salt Lake,Jaime,Sebastian,F,216000,216000,2014
LA Galaxy,Jamieson,Bradford,F,36500,36500,2014
Chivas USA,Jean-Baptiste,Andrew,D,80000,95000,2014
DC United,Jeffrey,Jared,M,65000,71200,2014
Portland Timbers,Jewsbury,Jack,D,115000,132500,2014
Columbus Crew,Jimenez,Hector,M,75000,75000,2014
FC Dallas,John,George,D,300000,326666.67,2014
DC United,Johnson,Eddie,F,505000,613333.33,2014
Houston Dynamo,Johnson,Jason,F,80000,121000,2014
Chicago Fire,Johnson,Sean,GK,250000,253000,2014
Portland Timbers,Johnson,Will,F,300000,325000,2014
New England Revolution,Jones,Jermaine,M,3000000,3252500,2014
New England Revolution,Joseph,Shalrie,M,248500,294000,2014
Chicago Fire,Joya,Benji,M,48504,53504,2014
Sporting Kansas City,Juliao,Igor,D,48500,48500,2014
Chicago Fire,Jumper,Hunter,D,48500,48500,2014
LA Galaxy,Juninho,,M,325000,325000,2014
Toronto FC,Junior,Gilberto,F,1145000,1205000,2014
Sporting Kansas City,Kafari,Michael,M,36504,36504,2014
Portland Timbers,Kah,Pa Modou,D,240000,245000,2014
Chivas USA,Kaji,Akira,D,48504,48504,2014
Orlando City SC,Kaka,,M,6660000,7167500,2014
Chicago Fire,Kann,Alec,GK,48500,48500,2014
LA Galaxy,Keane,Robbie,F,4500000,4500000,2014
FC Dallas,Keel,Stephen,D,48825,48825,2014
DC United,Kemp,Taylor,D,36504,36504,2014
Sporting Kansas City,Kempin,Jonathan,GK,70000,77083.33,2014
Chivas USA,Kennedy,Dan,GK,211750,213416.67,2014
New York Red Bulls,Kimura,Kosuke,D,105000,105000,2014
Chicago Fire,Kinney,Steven,D,48825,48825,2014
DC United,Kitchen,Perry,D,143500,228950,2014
Colorado Rapids,Klute,Chris,D,75000,80144.1,2014
Colorado Rapids,Knight,Zat,D,120000,139583.33,2014
New England Revolution,Knighton,Brad,GK,78100,80700,2014
San Jose Earthquakes,Knutsen,Billy,GK,36504,36504,2014
New England Revolution,Kobayashi,Daigo,M,125000,136666.67,2014
Vancouver Whitecaps,Koffie,Gershon,M,200000,211000,2014
Toronto FC,Konopka,Chris,GK,60000,60000,2014
DC United,Korb,Chris,D,90000,97298.33,2014
San Jose Earthquakes,Koval,JJ,M,48500,48500,2014
Seattle Sounders FC,Kovar,Aaron,M,48500,48700,2014
Montreal Impact,Krol,Krzysztof,D,153000,153000,2014
Sporting Kansas City,Kronberg,Eric,GK,120000,120000,2014
Vancouver Whitecaps,Laba,Matias,M,300000,300000,2014
Colorado Rapids,LaBrocca,Nick,M,135000,153333.33,2014
New York Red Bulls,Lade,Connor,D,57750,61963.21,2014
Philadelphia Union,Lahoud,Michael,M,99000,102333.33,2014
Columbus Crew,Lampson,Matt,GK,48825,48825,2014
Chicago Fire,Larentowicz,Jeff,D,245000,251000,2014
Montreal Impact,Larrea,Gorka,M,48500.04,48500.04,2014
Philadelphia Union,Le Toux,Sebastian,M,250000,262812.5,2014
Montreal Impact,Lefevre,Wandrille,M,48500,48500,2014
San Jose Earthquakes,Lenhart,Steven,F,250000,257500,2014
Vancouver Whitecaps,Leveron,Johnny,D,80000,91187.5,2014
Vancouver Whitecaps,Lewis,Andre,M,48500,53500,2014
Houston Dynamo,Lisch,Michael,GK,36504,36504,2014
Chivas USA,Lochhead,Tony,D,125000,125000,2014
Seattle Sounders FC,Long,Aaron,M,36504,36504,2014
Houston Dynamo,Lopez,Alexander,M,90000,110000,2014
Real Salt Lake,Lopez,Benjamin,F,48500,51105.43,2014
Sporting Kansas City,Lopez,Mikey,M,85000,157000,2014
Toronto FC,Lovitz,Daniel,M,36504,36504,2014
Seattle Sounders FC,Lowe,Damion,D,57500,68500,2014
FC Dallas,Loyd,Zach,M,155000,176666.67,2014
New York Red Bulls,Lozano,Armando,D,120000,130000,2014
FC Dallas,Luccin,Peter,M,75000,114333.33,2014
New York Red Bulls,Luyindula,Peguy,F,90000,90000,2014
Philadelphia Union,MacMath,Zac,GK,120000,120000,2014
Chicago Fire,Magee,Mike,F,350000,417500,2014
Philadelphia Union,Maidana,Cristian,F,185000,198750,2014
Montreal Impact,Mallace,Calum,M,50848,65848,2014
Vancouver Whitecaps,Manneh,Kekuta,F,70000,99500,2014
Toronto FC,Mannella,Chris,M,36504,36504,2014
Real Salt Lake,Mansally,Kenny,F,65000,72000,2014
Montreal Impact,Mapp,Justin,M,162250,174750,2014
Philadelphia Union,Marquez,Richard,D,36504,36504,2014
Seattle Sounders FC,Marshall,Chad,D,270000,286666.67,2014
DC United,Martin,Collin,M,55000,69166.67,2014
Colorado Rapids,Martin,Jose,M,230000,261000,2014
Montreal Impact,Martins,Felipe,M,160000,192500,2014
Seattle Sounders FC,Martins,Obafemi,F,1620000,1753333.33,2014
Vancouver Whitecaps,Mattocks,Darren,F,140000,232000,2014
Real Salt Lake,Maund,Aaron,D,36500,40250,2014
Philadelphia Union,Mbolhi,Rais,GK,240000,240000,2014
LA Galaxy,McBean,Jack,F,48500,48500,2014
New England Revolution,McCarthy,Stephen,M,101332,132582,2014
New York Red Bulls,McCarty,Dax,M,200000,242500,2014
Montreal Impact,McInerney,Jack,F,230000,294166.67,2014
Portland Timbers,McKenzie,Rauwshan,D,48825,48825,2014
Philadelphia Union,McLaughlin,James,M,66000,75000,2014
Chivas USA,McNamara,Thomas,M,48500,60000,2014
New York Red Bulls,Meara,Ryan,GK,68250,69500,2014
Sporting Kansas City,Medranda,Jimmy,M,48504,48504,2014
,Melia,Tim,GK,70000,75000,2014
LA Galaxy,Mendiola,Raul,F,36500,36500,2014
Columbus Crew,Meram,Justin,F,67452,91827,2014
San Jose Earthquakes,Meredith,Bryan,GK,48500,48500,2014
Montreal Impact,Messoudi,Zakaria,M,36504,36504,2014
LA Galaxy,Meyer,Tommy,D,50848,64598,2014
Vancouver Whitecaps,Mezquida,Nicolas,M-F,65000,65000,2014
New York Red Bulls,Miazga,Matt,D,65000,71250,2014
Montreal Impact,Miller,Eric,M/D,57500,68500,2014
New York Red Bulls,Miller,Roy,M,200000,200000,2014
Chivas USA,Minda,Oswaldo,M,150000,168750,2014
Vancouver Whitecaps,Mitchell,Carlyle,D,48825,50075,2014
FC Dallas,Moffat,Adam,M,165000,176608.33,2014
Orlando City SC,Molino,Kevin,M,60000,71400,2014
Colorado Rapids,Moor,Drew,D,235000,247000,2014
Toronto FC,Moore,Luke,F,120000,128333.33,2014
Real Salt Lake,Morales,Javier,M,300000,300000,2014
Vancouver Whitecaps,Morales,Pedro,M,1190000,1410900,2014
Toronto FC,Morgan,Ashtone,D,80000,92000,2014
Toronto FC,Morrow,Justin,D,160000,169562.5,2014
Real Salt Lake,Mulholland,Luke,M,55000,56250,2014
Colorado Rapids,Mullan,Brian,M,48500,48500,2014
San Jose Earthquakes,Muller,Tommy,D,48500,48500,2014
New England Revolution,Mullins,Patrick,F,70000,100000,2014
Sporting Kansas City,Munoz,Victor,M,36504,36504,2014
Colorado Rapids,Mwanga,Danny,F,130000,171250,2014
Sporting Kansas City,Myers,Chance,D-M,160000,185000,2014
Sporting Kansas City,Nagamura,Paulo,M,220000,220000,2014
Portland Timbers,Nagbe,Darlington,M/F,250000,260000,2014
Montreal Impact,Nakajima-Farran,Issey,M,90000,110000,2014
Portland Timbers,Nanchoff,Michael,M,48825,48825,2014
Colorado Rapids,Nasco,Joe,GK,50000,52693.83,2014
Seattle Sounders FC,Neagle,Lamar,M,110000,110000,2014
DC United,Neal,Lewis,M,100000,106440.63,2014
Colorado Rapids,Neeskens,John,D,42504,42504,2014
New England Revolution,Neumann,Stephen,M-F,65000,86250,2014
New England Revolution,Nguyen,Lee,M/F,175000,193750,2014
Philadelphia Union,Nogueira,Vincent,M,330000,330000,2014
Chivas USA,Nwiloh,Michael,D,36504,36504,2014
Chicago Fire,Nyarko,Patrick,F,265000,284500,2014
Chicago Fire,Nyassi,Sanna,M,147000,154625,2014
New York Red Bulls,Obekop,Marius,M,36500,41500,2014
Vancouver Whitecaps,O'Brien,Andy,D,250000,280000,2014
Seattle Sounders FC,Ockford,Jimmy,D,36504,36504,2014
Toronto FC,Oduro,Dominic,F,250000,251666.67,2014
Seattle Sounders FC,Okoli,Sean,F,48500,48750,2014
Philadelphia Union,Okugo,Amobi,M,145000,228000,2014
New York Red Bulls,Olave,Jamison,D,280000,290000,2014
Sporting Kansas City,Olum,Lawrence,M/D,48825,48825,2014
Colorado Rapids,O'Neill,Shane,M,56250,67750,2014
Sporting Kansas City,Opara,Ike,D,97500,103750,2014
DC United,Opare,Kofi,D,48500,48500,2014
Portland Timbers,O'Rourke,Danny,D,55008,55008,2014
Toronto FC,Orr,Bradley,D,75000,75000,2014
Toronto FC,Osorio,Jonathan,M,135000,142599.68,2014
Montreal Impact,Ouimette,Karl,D,48825,48825,2014
Vancouver Whitecaps,Ousted,David,GK,250000,266156.25,2014
Houston Dynamo,Ownby,Brian,M,48825,48825,2014
Columbus Crew,Paladini,Daniel,M,75000,76666.67,2014
Chicago Fire,Palmer,Lovel,M,82500,87000,2014
Sporting Kansas City,Palmer-Brown,Erik,D,48500,49000,2014
Portland Timbers,Paparatto,Norbeto,D,100000,100000,2014
Seattle Sounders FC,Pappa,Marco,M,75000,75000,2014
DC United,Parke,Jeff,D,215000,235500,2014
Columbus Crew,Parkhurst,Michael,D,275000,300000,2014
Seattle Sounders FC,Parsemain,Kevin,F,48504,54486.81,2014
Chicago Fire,Pause,Logan,M,75000,75000,2014
Montreal Impact,Pearce,Heath,D,100000,100000,2014
Portland Timbers,Peay,Taylor,D,36500.04,36500.04,2014
Chivas USA,Pelletieri,Agustin,M,90000,90000,2014
LA Galaxy,Penedo,Jaime,GK,135000,138562.5,2014
FC Dallas,Pereira,Michel,M/D,120000,141500,2014
FC Dallas,Perez,Blas,F,335000,359250,2014
San Jose Earthquakes,Perez,Matias,M,216000,216000,2014
LA Galaxy,Perk,Brian,GK,60000,63125,2014
Montreal Impact,Perkins,Troy,GK,250000,271833.33,2014
New York Red Bulls,Perrinelle,Damien,D,100008,100008,2014
Sporting Kansas City,Peterson,Jacob,F,110000,114833.33,2014
Philadelphia Union,Pfeffer,Zach,M,75000,85000,2014
Montreal Impact,Piatti,Ignacio,M,387500,387500,2014
San Jose Earthquakes,Pierazzi,Jean Baptiste,M,240000,240000,2014
Colorado Rapids,Piermayr,Thomas,D,70008,74429.56,2014
Seattle Sounders FC,Pineda,Gonzalo,M,80000,80000,2014
Chicago Fire,Pineda,Victor,M,60000,66742.42,2014
San Jose Earthquakes,Pintos,Pablo,D,60000,122500,2014
Real Salt Lake,Plata,Joao,F,70000,70000,2014
Columbus Crew,Pogatetz,Emanuel,D,360000,372500,2014
Chicago Fire,Pongolle,Florent,F,72000,81000,2014
DC United,Pontius,Chris,M-F,350000,381000,2014
DC United,Porter,Kyle,M,52313,60955.71,2014
Portland Timbers,Powell,Alvas,D,48828,48828,2014
Colorado Rapids,Powers,Dillon,M,95150,127650,2014
Orlando City SC,Redding,Tommy,D,36500,44000,2014
Seattle Sounders FC,Remick,Dylan,D,36500,36500,2014
Chivas USA,Reo-Coker,Nigel,D-M,400000,446500,2014
Chicago Fire,Reynish,Kyle,GK,74000,78316.67,2014
Philadelphia Union,Ribeiro,Pedro,M,36504,36504,2014
LA Galaxy,Ribeiro Da Silva,Leonardo,D,105000,105000,2014
Toronto FC,Richter,Ryan,F,48500,48500,2014
Portland Timbers,Ricketts,Donovan,GK,260000,260000,2014
Portland Timbers,Ridgewell,Liam,D,1200000,1200000,2014
LA Galaxy,Riley,James,D,80000,80000,2014
Real Salt Lake,Rimando,Nick,GK,225000,235833.33,2014
Chicago Fire,Ritter,Chris,M,48500,48500,2014
Chivas USA,Rivero,Martin,M,50004,50004,2014
Toronto FC,Roberts,Quillan,GK,36504,36504,2014
DC United,Robinson,Jalen,D,55000,67000,2014
New York Red Bulls,Robles,Luis,GK,100000,125000,2014
Montreal Impact,Rodriguez,Adrian Lopez,D,240000,291250,2014
LA Galaxy,Rogers,Robbie,F,160000,167500,2014
DC United,Rolfe,Chris,F,210000,225000,2014
Montreal Impact,Romero,Andres,F,60000,60000,2014
Vancouver Whitecaps,Rosales,Mauro,M,450000,450000,2014
Seattle Sounders FC,Rose,Andy,M,48825,48825,2014
LA Galaxy,Rowe,Brian,GK,48825,48825,2014
New England Revolution,Rowe,Kelyn,M,100000,181000,2014
LA Galaxy,Rugg,Charlie,F,48500,48500,2014
Sporting Kansas City,Saad,Soony,F,51150,51150,2014
Real Salt Lake,Saborio,Alvaro,F,360000,453333.33,2014
Houston Dynamo,Salazar,Bryan,F,48825,49825,2014
Real Salt Lake,Salcedo,Carlos,D,48500,48500,2014
Vancouver Whitecaps,Salgado,Omar,F,100000,141868.67,2014
San Jose Earthquakes,Salinas,Shea,M,130000,133333.33,2014
New York Red Bulls,Sam,Lloyd,F,136500,136500,2014
Vancouver Whitecaps,Sampson,Ethen,D,36504,36504,2014
New England Revolution,Sanchez,Jossimar,D,36504,36504,2014
Colorado Rapids,Sanchez,Vincente,F,210000,286666.67,2014
