Row,Date,Category,Store,Address
98,9/1/07,Travel,LEGO®,S164
8,9/1/07,Women's Fashions,Coldwater Creek,S166
54,9/1/07,Travel,Trade Secret,S168
322,9/1/07,Travel,Lucky Brand Jeans,S170
198,9/1/07,Travel,Brooks Brothers,S174
340,9/1/07,Women's Fashions,Chico's,S184
214,9/1/07,Travel,J.Crew,S200
91,9/1/07,Travel,Sharper Image,S206
189,9/1/07,Travel,Gap Men,S208
216,9/1/07,Travel,Martin + Osa,S214
333,9/1/07,Women's Fashions,Ann Taylor,S218
140,9/1/07,Travel,Paradise Pen Company,S222
2,9/1/07,Travel,Brighton Collectibles,S224
251,9/1/07,Travel,Rockport,S225
185,9/1/07,Travel,Motherhood Maternity,S228
345,9/1/07,Women's Specialty Fashions,Lane Bryant,S230
56,9/1/07,Travel,Victoria's Secret,S238
67,9/1/07,Travel,Carter's,S254
76,9/1/07,Travel,Limited Too,S255
327,9/1/07,Travel,Disney Store,S258
210,9/1/07,Travel,Guess,S260
247,9/1/07,Women's Fashions,Paiva,S262
341,9/1/07,Women's Fashions,Christopher & Banks,S270
161,9/1/07,Travel,Le Gourmet Chef,S272
332,9/1/07,Women's Fashions,Acorn,S276
338,9/1/07,Women's Fashions,C.J. Banks,S278
244,9/1/07,Travel,Naturalizer,S280
234,9/1/07,Travel,Easy Spirit,S282
390,9/1/07,Restaurants & Quick Serve Restaurants,Lindt Chocolate,S284
350,9/1/07,Women's Fashions,Rave,S286
230,9/1/07,Travel,Bakers,S288
113,9/1/07,Travel,"Afternoon, The",S290
238,9/1/07,Travel,Foot Locker,S300
430,9/1/07,Restaurants & Quick Serve Restaurants,Kokomo's Island Cafe,S319
428,9/1/07,Restaurants & Quick Serve Restaurants,Famous Dave's BBQ,S321
136,9/1/07,Travel,Mall of America Gift Store,S322
130,9/1/07,Travel,Kim's Hallmark,S340
30,9/1/07,Travel,Sadie's,S342
112,9/1/07,Travel,A Simpler Time,S343
107,9/1/07,Travel,Point of View,S344
438,9/1/07,Restaurants & Quick Serve Restaurants,Tony Roma's,S346
101,9/1/07,Travel,NASCAR Silicon Motor Speedway,S352
223,9/1/07,Travel,RAGSTOCK,S358
427,9/1/07,Restaurants & Quick Serve Restaurants,California Cafe,S368
414,9/1/07,Restaurants & Quick Serve Restaurants,Johnny Rockets,S370
413,9/1/07,Restaurants & Quick Serve Restaurants,Hot Dog on a Stick,S372
420,9/1/07,Restaurants & Quick Serve Restaurants,Panda Express,S374
401,9/1/07,Restaurants & Quick Serve Restaurants,A&W; Hot Dogs & More,S376
417,9/1/07,Restaurants & Quick Serve Restaurants,Long John Silvers,S378
377,9/1/07,Restaurants & Quick Serve Restaurants,Caribou Coffee,S380
381,9/1/07,Restaurants & Quick Serve Restaurants,Cold Stone Creamery,S382
403,9/1/07,Restaurants & Quick Serve Restaurants,Asian Chao/Maki of Japan,S385
412,9/1/07,Restaurants & Quick Serve Restaurants,Great Steak & Potato Co.,S388
424,9/1/07,Restaurants & Quick Serve Restaurants,Sbarro,S390
418,9/1/07,Restaurants & Quick Serve Restaurants,McDonald's,S391
404,9/1/07,Restaurants & Quick Serve Restaurants,Baja Tortilla Grill,S392
375,9/1/07,Restaurants & Quick Serve Restaurants,Bubba Gump Shrimp Co.,S396
97,9/1/07,Travel,AMC Theatres 14 Screens,S401
195,9/1/07,Travel,Banana Republic,W100
339,9/1/07,Women's Fashions,Cache,W107
439,9/1/07,Restaurants & Quick Serve Restaurants,Tucci Benucch,W114
211,9/1/07,Travel,H & M,W117
362,9/1/07,Travel,"River Church, The",W121
324,9/1/07,Travel,Urban Outfitters,W122
157,9/1/07,Travel,Holiday Station Store,W123
233,9/1/07,Travel,D.S.W. Shoe Warehouse,W124
164,9/1/07,Travel,Select Comfort,W125
400,9/1/07,Restaurants & Quick Serve Restaurants,Teavana,W128
109,9/1/07,Travel,Solstice Sunglass Boutique,W131
255,9/1/07,Travel,STACCATO,W132
231,9/1/07,Travel,Bostonian,W133
50,9/1/07,Travel,Progressions Salon,W134
57,9/1/07,Travel,Your Body Repair Shop,W135
167,9/1/07,Travel,Ben Bridge Jeweler,W136
61,9/1/07,Travel,Franklin Covey,W140
256,9/1/07,Travel,Steve Madden,W142
344,9/1/07,Women's Fashions,Kiwi Beach,W144
179,9/1/07,Travel,Rogers & Hollands,W146
37,9/1/07,Travel,"Body Shop, The",W148
172,9/1/07,Travel,Helzberg Diamonds,W154
64,9/1/07,Women's Specialty Fashions,Jessica McClintock,W156
159,9/1/07,Travel,Autumn Cottage,W158
315,9/1/07,Travel,Vikings Locker Room,W160
387,9/1/07,Restaurants & Quick Serve Restaurants,Harry and David,W161
119,9/1/07,Travel,Brookstone,W162
174,9/1/07,Travel,Kay Jewelers,W166
52,9/1/07,Travel,Sephora,W200
207,9/1/07,Travel,Express,W204
65,9/1/07,Travel,abercrombie,W209
346,9/1/07,Women's Fashions,"Limited, The",W210
431,9/1/07,Restaurants & Quick Serve Restaurants,Napa Valley Grille,W220
437,9/1/07,Restaurants & Quick Serve Restaurants,Tiger Sushi,W224
358,9/1/07,Travel,AARP,W228
206,9/1/07,Travel,Eddie Bauer,W230
226,9/1/07,Travel,Tommy Bahama's,W235
73,9/1/07,Travel,Hanna Andersson,W258
165,9/1/07,Travel,Tiffany Collection,W260
166,9/1/07,Travel,Williams-Sonoma,W262
40,9/1/07,Travel,L'OCCITANE,W268
38,9/1/07,Travel,Crabtree & Evelyn,W270
7,9/1/07,Travel,Coach,W274
398,9/1/07,Restaurants & Quick Serve Restaurants,Starbucks Coffee Company,W276
178,9/1/07,Travel,Osterman's Jewelers,W278
356,9/1/07,Women's Specialty Fashions,Tall Girl,W282
29,9/1/07,Travel,Rodney Lough Jr. Wilderness Collections Gallery,W286
32,9/1/07,Travel,Aveda Experience Center,W288
355,9/1/07,Women's Specialty Fashions,Everything but Water,W290
46,9/1/07,Travel,Origins,W292
42,9/1/07,Travel,MAC Cosmetics,W294
19,9/1/07,Travel,Sole Mio Sunglasses,W296
228,9/1/07,Travel,Sam Goody,W300
156,9/1/07,Travel,Highland Bank,W322
218,9/1/07,Travel,Nordstrom Rack,W324
393,9/1/07,Restaurants & Quick Serve Restaurants,Old Vine Wine and Spirits,W326
200,9/1/07,Travel,Choppers Town USA,W327
312,9/1/07,Travel,Sports Authority,W340
306,9/1/07,Travel,Champs Sports,W358
111,9/1/07,Travel,Sunglass Hut - Watch Station,W360
150,9/1/07,Travel,Things Remembered,W362
41,9/1/07,Travel,L.A. Nails,W364
95,9/1/07,Travel,Verizon Wireless,W365
308,9/1/07,Travel,Goldy's Locker Room,W366
326,9/1/07,Travel,Air Traffic,W368
309,9/1/07,Travel,Lids,W369
114,9/1/07,Travel,Al's Farm Toys,W370
153,9/1/07,Travel,Wild Bird Store,W372
132,9/1/07,Travel,Love From Minnesota,W380
397,9/1/07,Restaurants & Quick Serve Restaurants,Rybicki Cheese,W382
60,9/1/07,Travel,Bead It!,W383
395,9/1/07,Restaurants & Quick Serve Restaurants,Pretzel Time,W384
106,9/1/07,Travel,Pearle Vision,W385
147,9/1/07,Travel,Spirit of the Red Horse,W387
118,9/1/07,Travel,Bow Wow Meow,W388
14,9/1/07,Travel,Icing by Claire's,W390
20,9/1/07,Travel,Sox Appeal,W391
376,9/1/07,Restaurants & Quick Serve Restaurants,Candy Candy!,W392
