Row Number,Date Captured,Location Category,Store,Address
128,2024-09-02,Accessories,Dior Accessories @ Nordstrom,N1000
129,2024-09-02,Women's Apparel,Dior Boutique @ Nordstrom,N1000
130,2024-09-02,Sweets + Treats,Doc Popcorn,E306
131,2024-09-02,Home,Doremi Sofa,E264
132,2024-09-02,Attractions + Entertainment,Double Dare Human Crane,MWest
133,2024-09-02,Shoes,Dr. Martens,N138
134,2024-09-02,Mall of America® Gift Cards,Dream Riders,CNortheast
135,2024-09-02,Shoes,DSW,W124
136,2024-09-02,Shoes,DTLR,N244
137,2024-09-02,Coffee + Tea,Dunkin',E280
138,2024-09-02,Attractions + Entertainment,Dutchman's Deck Adventure Course,DutchmansDeck
139,2024-09-02,Mall of America® Gift Cards,East Self-Service Ticketing,UNickelodeon
140,2024-09-02,Jewelry + Watches,East Side Jewelry | Kiosk,E6106
141,2024-09-02,Convenience,Ebisu,N306
142,2024-09-02,Women's Apparel,Eddie Bauer,S214
143,2024-09-02,Women's Apparel,Edikted,W209
144,2024-09-02,Women's Apparel,EVEREVE,W132
145,2024-09-02,Women's Apparel,Everything But Water,W290
146,2024-09-02,Women's Apparel,Evsie,E212A
147,2024-09-02,Women's Apparel,Express,W204
148,2024-09-02,Eyewear,Eyebobs,W128
149,2024-09-02,Women's Apparel,Fabletics,W134
150,2024-09-02,Toys + Games + Hobbies,Face Painting,UNickelodeon
