Original_Address,Direction,Direction_Full,Floor,Room
E170,E,East,1,70
E172,E,East,1,72
E201,E,East,2,01
E203,E,East,2,03
E218,E,East,2,18
E241,E,East,2,41
E258,E,East,2,58
E278,E,East,2,78
E300,E,East,3,00
E337,E,East,3,37
E339,E,East,3,39
E340,E,East,3,40
E358,E,East,3,58
E410,E,East,4,10
N100,N,North,1,00
N102,N,North,1,02
N107,N,North,1,07
N134,N,North,1,34
N150,N,North,1,50
N188,N,North,1,88
N221,N,North,2,21
N238,N,North,2,38
N240,N,North,2,40
N244,N,North,2,44
N246,N,North,2,46
N252,N,North,2,52
N256,N,North,2,56
N262,N,North,2,62
N267,N,North,2,67
N282,N,North,2,82
N318,N,North,3,18
N331,N,North,3,31
N352,N,North,3,52
N380,N,North,3,80
N386,N,North,3,86
N390,N,North,3,90
S108,S,South,1,08
S116,S,South,1,16
S118,S,South,1,18
S145,S,South,1,45
S148,S,South,1,48
S150,S,South,1,50
S156,S,South,1,56
S158,S,South,1,58
S278,S,South,2,78
S280,S,South,2,80
S288,S,South,2,88
S319,S,South,3,19
S321,S,South,3,21
S342,S,South,3,42
S343,S,South,3,43
S385,S,South,3,85
W100,W,West,1,00
W107,W,West,1,07
W117,W,West,1,17
W121,W,West,1,21
W122,W,West,1,22
W124,W,West,1,24
W125,W,West,1,25
W136,W,West,1,36
W224,W,West,2,24
W228,W,West,2,28
W235,W,West,2,35
W300,W,West,3,00
W322,W,West,3,22
W358,W,West,3,58
W365,W,West,3,65
W370,W,West,3,70
E318,E,East,3,18
E247,E,East,2,47
S141,S,South,1,41
N105,N,North,1,05
C128,C,Center,1,28
S210,S,South,2,10
S176,S,South,1,76
S130,S,South,1,30
E202,E,East,2,02
W112,W,West,1,12
N302,N,North,3,02
S128,S,South,1,28
S149,S,South,1,49
W344,W,West,3,44
S172,S,South,1,72
S229,S,South,2,29
S100,S,South,1,00
S220,S,South,2,20
S107,S,South,1,07
S175,S,South,1,75
W240,W,West,2,40
C185,C,Center,1,85
N353,N,North,3,53
E401,E,East,4,01
N125,N,North,1,25
S236,S,South,2,36
N345,N,North,3,45
C376,C,Center,3,76
C360,C,Center,3,60
C368,C,Center,3,68
C380,C,Center,3,80
C370,C,Center,3,70
C364,C,Center,3,64
C335,C,Center,3,35
W328,W,West,3,28
E317,E,East,3,17
C322,C,Center,3,22
C326,C,Center,3,26
S316,S,South,3,16
N326,N,North,3,26
N332,N,North,3,32
E123,E,East,1,23
S312,S,South,3,12
